Material_Name,Curie,Neel,Curie_Weiss,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity,Magnetic_Moment,Magnetization,Remanence,Susceptibility,DOI,Experimental
Mn2Sn0.5Ga0.5,262.0,,,Hexagonal,Co1.75Ge-prototype,"{'a': '4.340 Å', 'c': '5.370 Å'}",P63/mmc,590 Oe,0.85 μB/Mn,46.7 emu/g,,,10.1016/j.jmmm.2018.09.123,True
YbNi2,10.5,,,,,,,,,,,,10.1016/j.jmmm.2019.165815,False
La0.91Mn0.95O3,252.0,,,,,,,,,,,,10.1016/j.jmmm.2003.12.1082,True
YBaCuFe0.95Mn0.05O5,,331.0,,Layered Perovskite,Tetragonal,"{'a': '3.8699 Å', 'c': '7.6359 Å'}",P4mm,,"Fe: 2.23 μB, Cu: -0.70 μB (at 420 K); Fe: 1.01 μB, Cu: -0.84 μB (at 242 K)",,,,10.1016/j.jmmm.2022.169165,True
YBaCuFeO5,,306.5,,Layered Perovskite,Tetragonal,"{'a': '3.8735 Å', 'c': '7.6648 Å'}",P4mm,,"Fe: 2.15 μB, Cu: -0.43 μB (at 438 K); Fe: 2.19 μB, Cu: -0.44 μB (at 175 K)",,,,10.1016/j.jmmm.2022.169165,True
Pr2Fe14B,559.2,,,tetragonal,tP,,P 42/mnm,,1.76 μB,,,,10.1016/j.jmmm.2019.165983,True
Fe2B,1018.0,,,tetragonal,tI,,I 4/mcm,,,,,,10.1016/j.jmmm.2019.165983,True
FeB,600.0,,,orthorhombic,oP,,Pnma,,,,,,10.1016/j.jmmm.2019.165983,True
Pr2Fe17,283.0,,,rhombohedral,hR,,R -3 m,,,,,,10.1016/j.jmmm.2019.165983,True
Gd2O3,,,-0.7 K,Amorphous,,,,,3.8 μB,,,Curie–Weiss dependence,10.1016/j.jmmm.2015.11.075,True
CePd2Ge2,,5.0,,,,,,,,,,,10.1016/j.jmmm.2003.11.061,True
Ni49.6Mn21.9Ga28.5,356.0,,,Cubic I-phase,Pseudo-cubic,,,,,,,,10.1016/j.jmmm.2008.02.139,True
Ni49.2Mn26.6Ga24.2,368.0,,,Tetragonal 10M-martensite,Tetragonal,,,,,,,,10.1016/j.jmmm.2008.02.139,True
Ni54.3Mn20.5Ga25.2,341.0,,,Tetragonal 10M-martensite,Tetragonal,,,,,,,,10.1016/j.jmmm.2008.02.139,True
Ni53.1Mn26.6Ga20.3,373.0,,,Tetragonal 2M-martensite,Tetragonal,,,,,,,,10.1016/j.jmmm.2008.02.139,True
Fe40Co40Cu0.5Zr9Al2Si4B4.5,736.0,,,"α-(Fe,Co)(Si,Al)",,,,95 A/m,,"119 emu/g (as-spun), 133 emu/g (annealed)",,,10.1016/j.jmmm.2003.12.1315,True
FePt,600.0,,,,,,,,,1.03 T,,,10.1016/j.jmmm.2010.11.082,False
CeNiSnH1.0,,4.5,,Orthorhombic,ε-TiNiSi type,,,,,,,,10.1016/j.jmmm.2006.10.486,True
FeNbO4,,41.0,-86.7 K,Monoclinic,,,P 2/a,,6.17 μB/Fe3+,"0.96 μB (H ⊥ a), 1.25 μB (H // a)",,,10.1016/j.jmmm.2018.05.055,True
DyCoC2,10.0,,,CeNiC2-type,Orthorhombic,,Amm2,,6.0 μB at 1.7 K,,,,10.1016/j.jmmm.2014.08.085,True
DyNiC2,,7.6,,CeNiC2-type,Orthorhombic,,Amm2,,,,,,10.1016/j.jmmm.2014.08.085,True
DyCo0.67Ni0.33C2,7.3,,,CeNiC2-type,Orthorhombic,,Amm2,,,,,,10.1016/j.jmmm.2014.08.085,True
CoFe2O4,600.0,,,Spinel,Polycrystalline,,,"6200 Oe at 150 K, 1100 Oe at room temperature",,,,,10.1016/j.jmmm.2009.04.036,True
SrRuO3,160.0,,,,,,,,,,,,10.1016/j.jmmm.2007.04.033,False
Co2NbGa,548.7,,,Cubic,L21,{'a': '5.97 Å'},,,2 μB/f.u.,,,,10.1016/j.jmmm.2021.168303,False
Cr2O3,,260.0,,Sapphire-like,Hexagonal,,R-3c,,,,,,10.1016/j.jmmm.2019.166362,True
Cr2O3,,60.0,,Sapphire-like,Hexagonal,,R-3c,,,,,,10.1016/j.jmmm.2019.166362,True
Co0.8Cu0.2Cr2O4,89.0,,,Cubic (Fd-3m) + Orthorhombic (Fddd),Cubic + Orthorhombic,"{'a': '8.3242 Å (Cubic), 8.3400 Å (Orthorhombic)', 'b': '8.3483 Å (Orthorhombic)', 'c': '8.2890 Å (Orthorhombic)'}",Fd-3m + Fddd,,,,,,10.1016/j.jmmm.2018.01.072,True
FePt,720.0,,,,,"{'a': '2.73 Å', 'c': '3.85 Å'}",,,3.23 μB,1043 emu/cm^3,,,10.1016/j.jmmm.2022.170041,False
NdFeB,585.0,,,,,,,,,,,,10.1016/j.jmmm.2022.170041,False
Co2Fe0.75V0.25Ge,820.0,,,L21,Cubic,{'a': '5.755 Å'},Fm-3m,,5.21 μB/f.u.,,,,10.1016/j.jmmm.2021.168352,True
Co2Fe0.625V0.375Ge,790.0,,,L21,Cubic,{'a': '5.760 Å'},Fm-3m,,4.78 μB/f.u.,,,,10.1016/j.jmmm.2021.168352,True
MnSi,29.4,,,Cubic,,{'a': '4.560'},P213,,2.0 μB (Mn),,,,10.1016/S0304-8853(03)00246-4,False
NiFe2O4,870.0,,,Inverse Spinel,Cubic,{'a': '8.345 Å'},Fd3m,,,,,,10.1016/j.jmmm.2019.01.001,True
La0.67Sr0.33Mn0.9Cr0.1O3,328.0,,,Rhombohedral perovskite,,,,,,,,,10.1016/S0304-8853(01)00263-3,True
La0.8Ca0.2MnO3,230.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
La0.67Ca0.33MnO3,267.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
La0.6Ca0.4MnO3,263.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
La0.65Ca0.35Mn0.9Ti0.1O3,103.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
La0.87Sr0.13MnO3,197.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
La0.84Sr0.16MnO3,244.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
Gd,294.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
Gd0.73Dy0.27,265.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,False
Ce3Rh2Ge2,,7.0,-90 K,Orthorhombic,,,Pbcm,,,,,,10.1016/j.jmmm.2003.12.596,True
Co2CrAl,300.0,,,A2,Face centered cubic,,Im3m,,1.68 μB/f.u.,171.38 emu/g at 10 K,,,10.1016/j.jmmm.2018.05.014,True
Co2FeAl,900.0,,,B2,Body centered cubic,,Pm3m,,5.24 μB/f.u.,141.158 emu/g at 10 K,,,10.1016/j.jmmm.2018.05.014,True
Yb2CoMnO6,125.0,,35 K,Orthorhombic,GdFeO3-type,"{'a': '5.5593 Å', 'b': '7.4154 Å', 'c': '5.1825 Å'}",Pnma,,,,,,10.1016/S0304-8853(02)00033-1,True
Gd2CoMnO6,112.0,,,Orthorhombic,GdFeO3-type,,,,,,,,10.1016/S0304-8853(02)00033-1,False
MnTe,,310.0,,Hexagonal,NiAs-type,"{'a': '4.193 Å', 'c': '6.752 Å'}",P63/mmc,,"0.92 μB at 300 K, 2.06 μB at 10 K",,,Sharp rise at 83 K,10.1016/j.jmmm.2004.08.001,True
Co2FeSi,1100.0,,,,,,,,6 μB/f.u.,,,,10.1016/j.jmmm.2022.169615,False
YbRh2Si2,,0.07,,Tetragonal,Square lattice,,,,,,,Curie-Weiss type behavior with negative Weiss temperature,10.1016/j.jmmm.2003.11.036,True
YBaCo2O5.5,300.0,,,,,,,,,,,,10.1016/j.jmmm.2014.01.049,False
CoO,,293.0,,f.c.c.,,,,,,,,,10.1016/j.jmmm.2008.02.063,True
Eu2Ti2O7,,,-1.35 K,Pyrochlore,Cubic,,Fd-3m,,0.679 μB,,,,10.1016/j.jmmm.2018.04.060,True
La0.85Ag0.15MnO3.10,246.0,,,Rhombohedral,R3̄c,"{'a': '5.5281 Å (300 K), 5.5170 Å (4 K)', 'c': '13.3590 Å (300 K), 13.3175 Å (4 K)'}",R3̄c,,3.37 μB (4 K),,,,10.1016/j.jmmm.2019.166192,True
LaMnO3,,140.0,,Orthorhombic,Pnma,"{'a': '5.507 Å (300 K), 5.523 Å (4 K)', 'b': '7.836 Å (300 K), 7.777 Å (4 K)', 'c': '5.494 Å (300 K), 5.482 Å (4 K)'}",Pnma,,,,,,10.1016/j.jmmm.2019.166192,False
SmFeO3,,708.0,,Orthorhombic,,"{'a': '0.54 nm', 'b': '0.56 nm', 'c': '0.77 nm'}",Pbnm,,,,,,10.1016/j.jmmm.2017.04.054,True
ThFe11C1.5,419.0,,434 K,BaCd11 type,,,I4/amd,,2.00 μB per Fe atom,15.26 μB/f.u. at 5 K,,,10.1016/S0304-8853(02)00439-0,True
ThFe11C1.8,512.0,,526 K,BaCd11 type,,,I4/amd,,1.88 μB per Fe atom,22.00 μB/f.u. at 5 K,,,10.1016/S0304-8853(02)00439-0,True
Er2O3,,3.3,-10.2 K,Bixbyite,Cubic,{'a': '10.55 Å'},,,6.68 μB/Er3+,,,,10.1016/j.jmmm.2014.05.026,True
Dy2O3,,1.2,,,,,,,,,,,10.1016/j.jmmm.2014.05.026,False
Yb2O3,,2.3,,,,,,,,,,,10.1016/j.jmmm.2014.05.026,False
La0.6Ca0.4MnO3,250.0,,,Orthorhombic,Perovskite,"{'a': '5.436 Å', 'b': '7.673 Å', 'c': '5.442 Å'}",Pnma,,3.1 μB,,,,10.1016/S0304-8853(01)00495-4,True
ScFe4Al8,,250.0,,Body-Centered Tetragonal,Tetragonal,"{'a': '860 pm', 'c': '499 pm'}",I4/mmm,,1.08 μB at 8K,,,,10.1016/j.jmmm.2003.11.238,True
La0.75Sr0.25MnO3,367.0,,,,,"{'a': '5.5053 Å', 'b': '5.5053 Å', 'c': '13.3864 Å'}",,,,,,,10.1016/j.jmmm.2017.11.126,True
La0.67Ba0.33MnO3,266.0,,,Cubic,,{'a': '3.912 Å'},,,,,,,10.1016/j.jmmm.2008.06.004,True
La0.6Ca0.4MnO3,269.0,,261 K,Orthorhombic,Perovskite,"{'a': '5.463 Å', 'b': '7.697 Å', 'c': '5.450 Å'}",Pnma,,6.21 μB,3.3 μB/Mn,,,10.1016/j.jmmm.2018.01.084,True
La0.6Ca0.3Ag0.1MnO3,267.0,,265 K,Orthorhombic,Perovskite,"{'a': '5.472 Å', 'b': '7.724 Å', 'c': '5.459 Å'}",Pnma,,6.56 μB,3.5 μB/Mn,,,10.1016/j.jmmm.2018.01.084,True
ErAl2,12.0,,,Cubic Laves phase,,,,,,,,,10.1016/j.jmmm.2020.167207,True
Er2O3,,3.4,,,,,,,,,,,10.1016/j.jmmm.2020.167207,False
GdCu,,145.0,,CsCl,Simple cubic,,,,,,,,10.1016/j.jmmm.2017.04.005,True
GdZn,270.0,,,CsCl,Simple cubic,,,,,,,,10.1016/j.jmmm.2017.04.005,True
GdGa,200.0,,,Orthorhombic CrB,,,,,,,,,10.1016/j.jmmm.2017.04.005,True
GdCd,265.0,,,CsCl,Simple cubic,,,,,,,,10.1016/j.jmmm.2017.04.005,True
GdMg,120.0,,,CsCl,Simple cubic,,,,,,,,10.1016/j.jmmm.2017.04.005,True
Gd4Co3,213.5,,,Amorphous,,,,,8.26 μB per Gd atom,,,,10.1016/j.jmmm.2012.09.002,True
Gd6Co4.85,219.0,,,Crystal,,,,,,,,,10.1016/j.jmmm.2012.09.002,False
Gd4Co3,220.0,,,Crystal,,,,,,,,,10.1016/j.jmmm.2012.09.002,False
TmPtIn,,3.5,6.5 K,Hexagonal ZrNiAl-type,Hexagonal,"{'a': '7.594 Å', 'c': '3.769 Å'}",P6̅2m,,5.59 μB,4.5 μB at 1.72 K and 5 T,,,10.1016/j.jmmm.2010.02.005,True
YbPtIn,,3.4,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
SmPtIn,25.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
GdPtIn,89.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
DyPtIn,38.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
HoPtIn,23.5,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
ErPtIn,8.5,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
TbPtIn,,50.0,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,False
ZnO,175.0,,,Wurtzite,Hexagonal,{'c': '0.5217 nm'},P63mc,,,,,,10.1016/j.jmmm.2016.06.007,True
Zn0.95Fe0.05O,300.0,,,Wurtzite,Hexagonal,{'c': '0.5193 nm'},P63mc,70 Oe,,,,,10.1016/j.jmmm.2016.06.007,True
Zn0.92Al0.03Fe0.05O,300.0,,,Wurtzite,Hexagonal,{'c': '0.5193 nm'},P63mc,70 Oe,,,,,10.1016/j.jmmm.2016.06.007,True
Mn2FeSbO6,,268.0,,Hexagonal,Ilmenite-type,"{'a': '5.226', 'c': '14.325'}",R-3,,3.7 μB/f.u.,,,,10.1016/j.jmmm.2012.11.040,True
Mn2FeSbO6,,264.0,,Hexagonal,Ilmenite-type,"{'a': '5.237', 'c': '14.349'}",R-3,,4.35 μB/f.u.,63.1 Am^2/kg,,,10.1016/j.jmmm.2012.11.040,True
Y2CrMnO6,33.0,,-40 K,Monoclinic,P21/n,"{'a': '5.229 Å', 'b': '5.603 Å', 'c': '7.448 Å'}",P21/n,16.251 kOe,6.788 μB/f.u.,,7.89 emu/g,,10.1016/j.jmmm.2020.167276,True
Y2CrMnO6,74.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167276,False
Y2CrMnO6,75.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167276,False
CeMgPb,,7.0,20 K,CeScSi,Tetragonal,"{'a': '4.557', 'c': '16.405'}",I4/mmm,2.8 T,2.25 μB,1.1 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
PrMgPb,,11.0,14 K,CeScSi,Tetragonal,"{'a': '4.532', 'c': '16.328'}",I4/mmm,2.2 T,1.80 μB,1.5 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
NdMgPb,,24.0,16 K,CeScSi,Tetragonal,"{'a': '4.510', 'c': '16.259'}",I4/mmm,6.2 T,3.38 μB,1.0 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
SmMgPb,,61.0,,CeScSi,Tetragonal,"{'a': '4.471', 'c': '16.156'}",I4/mmm,,,0.02 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
GdMgPb,,47.0,-3 K,CeScSi,Tetragonal,"{'a': '4.444', 'c': '16.045'}",I4/mmm,,,1.3 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
TbMgPb,,35.0,-11 K,CeScSi,Tetragonal,"{'a': '4.423', 'c': '15.987'}",I4/mmm,7.0 T,8.11 μB,3.7 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
DyMgPb,,26.0,-10 K,CeScSi,Tetragonal,"{'a': '4.407', 'c': '15.947'}",I4/mmm,2.6 T,8.12 μB,7.2 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
HoMgPb,,16.0,0 K,CeScSi,Tetragonal,"{'a': '4.395', 'c': '15.904'}",I4/mmm,2.0 T,9.56 μB,8.9 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
ErMgPb,,6.0,7 K,CeScSi,Tetragonal,"{'a': '4.382', 'c': '15.869'}",I4/mmm,1.6 T,7.61 μB,7.2 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
TmMgPb,,2.5,19 K,CeScSi,Tetragonal,"{'a': '4.369', 'c': '15.843'}",I4/mmm,,4.03 μB,5.6 μB/f.u. at 5 K for μ0H=9 T,,,10.1016/j.jmmm.2012.03.037,True
La0.4Sm0.1Ca0.5MnO3,123.0,,204 K,Orthorhombic,Pnma,"{'a': '5.407 Å', 'b': '7.662 Å', 'c': '5.398 Å'}",62,,6.04 μB,,,,10.1016/j.jmmm.2015.01.039,True
La0.5Ca0.5MnO3,220.0,,,,,,,,,,,,10.1016/j.jmmm.2015.01.039,False
Ni45Mn44Sn11,307.3,,,L21,Body centered cubic,{'a': '5.945 Å'},Fm-3m,,,,,,10.1016/j.jmmm.2018.07.048,True
KMn0.97Ni0.03F3,,88.0,,"Cubic (room temperature), Tetragonal (below 186 K), Monoclinic (below 88 K)",Perovskite,,,,,,,,10.1016/j.jmmm.2020.166533,True
YTiO3,27.0,,,Orthorhombic,,,,,,,,,10.1016/j.jmmm.2020.166533,True
KCoF3,,114.0,,"Cubic (room temperature), Tetragonal (below 114 K)",Perovskite,,,,,,,,10.1016/j.jmmm.2020.166533,True
CsNiF3,,2.63,,Hexagonal,,,,,,,,,10.1016/j.jmmm.2020.166533,True
CsNiCl3,,4.74,,Hexagonal,,,,,,,,,10.1016/j.jmmm.2020.166533,True
LaMnO3,,139.5,,Orthorhombic,,,,,,,,,10.1016/j.jmmm.2020.166533,True
Fe3C,485.0,,,Orthorhombic,,"{'a': '0.5081 nm', 'b': '0.6734 nm', 'c': '0.4517 nm'}",Pnma,,1.80 μB/Fe-atom,1.30 MJ/Tm^3,,,10.1016/j.jmmm.2017.10.114,True
Co90Nb10Ta3,360.0,,,Amorphous,,,,,"18.04 emu/g (max), 0.216 emu/g (min)",,,,10.1016/j.jmmm.2019.03.130,True
Gd,293.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,False
Gd5Si2Ge2,278.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,False
La0.8Ca0.2MnO3,230.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,False
FeCrMoCuGaPCB,470.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,False
CeFe2,225.0,,,Cubic Laves phase,MgCu2-type,{'a': '7.299 Å'},,,2.48 μB/f.u.,55.8 emu/g,,,10.1016/j.jmmm.2017.03.009,True
Fe3.4In0.6N,214.0,,,Cubic,Antiperovskite,{'a': '3.86208 Å'},Pm-3m,,,,,,10.1016/j.jmmm.2019.165655,True
Fe3O2BO3,,112.0,,zig-zag wall,,,,,,,,,10.1016/S0304-8853(00)01316-0,True
Ni,456.0,,,Body-centered-cubic (bcc),,,,,,,,,10.1016/j.jmmm.2006.10.240,True
Ni,627.0,,,Face-centered-cubic (fcc),,,,,,,,,10.1016/j.jmmm.2006.10.240,True
Nd0.93MnO2.96,,80.0,,Orthorhombic Perovskite,Orthorhombic,,Pnma,"5 kOe at 10 K, 0.8 kOe at 40 K",,,"33 emu/g at 10 K, 12 emu/g at 40 K",,10.1016/j.jmmm.2004.04.108,True
Co0.04Zn0.96O,750.0,,,Wurtzite,Hexagonal,{'c': '0.529 nm'},,100 Oe,1.1 μB/Co,,,,10.1016/j.jmmm.2006.06.012,True
URu2Si2,,17.0,,,,,,,0.25 μB/U,,,,10.1016/j.jmmm.2003.11.159,True
La1.4Sr1.6Mn2O7,70.0,100.0,,Body centered tetragonal,,,I4/mmm,,,,,,10.1016/j.jmmm.2003.12.1226,True
Y2CoMnO6,76.0,,77 K,Monoclinic,P21/n,,P21/n,1.72 T at 4 K,2.2 μB at 5 K,4.12 μB/f.u. at 2.7 K and 8 T,,,10.1016/j.jmmm.2020.166821,True
Y2NiMnO6,54.0,,,Monoclinic,Pseudo-cubic,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",P21/n,467 Oe,,0.84 × 10^2 emu/cm^3,,,10.1016/j.jmmm.2020.167427,True
Y2NiMnO6,79.0,,,Monoclinic,Pseudo-cubic,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",P21/n,1001 Oe,,1.48 × 10^2 emu/cm^3,,,10.1016/j.jmmm.2020.167427,True
Y2NiMnO6,75.0,,,Monoclinic,Pseudo-cubic,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",P21/n,1887 Oe,,0.80 × 10^2 emu/cm^3,,,10.1016/j.jmmm.2020.167427,True
Y2NiMnO6,81.0,,,Monoclinic,Pseudo-cubic,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",P21/n,1247 Oe,,1.16 × 10^2 emu/cm^3,,,10.1016/j.jmmm.2020.167427,True
La2NiMnO6,280.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167427,False
BaCuO2.00,,15.0,60 to -3.5 K,Body-Centered Cubic,BCC,{'a': '18.28 Å'},,,3.1 μB,,,,10.1016/j.jmmm.2003.11.038,True
Pd0.9965Fe0.0035Mn0.05,10.3,,,,,,,1.5 A/cm at 4.2 K,,,,,10.1016/S0304-8853(00)01387-1,True
Mn1Fe4Si3,318.0,,,Hexagonal,,"{'a': '0.6796 nm', 'c': '0.4726 nm'}",P 63/mcm,,1.5–1.7 μB,,,,10.1016/j.jmmm.2021.167952,True
Mn1.1Fe3.9Si3,308.0,,,Hexagonal,,,P 63/mcm,,,,,,10.1016/j.jmmm.2021.167952,True
Mn1.2Fe3.8Si3,296.0,,,Hexagonal,,"{'a': '0.6814 nm', 'c': '0.4728 nm'}",P 63/mcm,,,,,,10.1016/j.jmmm.2021.167952,True
Mn1.3Fe3.7Si3,286.0,,,Hexagonal,,,P 63/mcm,,,,,,10.1016/j.jmmm.2021.167952,True
Nd0.5Sr0.5MnO3,250.0,225.0,,Perovskite,,,,,,,,,10.1016/j.jmmm.2003.12.1124,True
Pr3Cu4Sn4,,11.8,-4.2 K,Orthorhombic,Gd3Cu4Ge4-type,"{'a': '15.046 Å', 'b': '7.016 Å', 'c': '4.580 Å'}",Immm,,1.6 μB/Pr-ion,,,,10.1016/S0304-8853(02)00380-3,True
Nd3Cu4Sn4,,1.8,-8.7 K,Orthorhombic,Gd3Cu4Ge4-type,"{'a': '14.990 Å', 'b': '6.999 Å', 'c': '4.562 Å'}",Immm,,1.6 μB/Nd-ion,,,,10.1016/S0304-8853(02)00380-3,True
Sm3Cu4Sn4,,7.5,,Orthorhombic,Gd3Cu4Ge4-type,"{'a': '14.856 Å', 'b': '6.968 Å', 'c': '4.520 Å'}",Immm,,,,,,10.1016/S0304-8853(02)00380-3,True
Ce3Cu4Sn4,,10.4,-12.5 K,Orthorhombic,Gd3Cu4Ge4-type,"{'a': '15.098 Å', 'b': '7.022 Å', 'c': '4.597 Å'}",Immm,,,,,,10.1016/S0304-8853(02)00380-3,False
Gd3Cu4Sn4,,13.0,-39.5 K,Orthorhombic,Gd3Cu4Ge4-type,"{'a': '14.789 Å', 'b': '6.956 Å', 'c': '4.500 Å'}",Immm,,,,,,10.1016/S0304-8853(02)00380-3,False
Yb3Cu4Ge4,,7.5,,Orthorhombic,Gd3Cu4Ge4-type,,Immm,,,,,,10.1016/S0304-8853(02)00380-3,False
Cr2CoAl,20.5,,29.76 K,Inverse Heusler (XA),fcc,{'a': '5.76 Å'},F-43m,115 Oe (at 100 K),0.11 μB/f.u. (at 5 K),,0.0004 μB/f.u. (at 100 K),1.32 × 10^-6 emu/gm Oe (χ0),10.1016/j.jmmm.2020.167522,True
Cr2CoGa,320.0,,,Inverse Heusler (XA),,,,,,,,,10.1016/j.jmmm.2020.167522,False
CoRuMnSi,780.0,,,L21 disordered,FCC,{'a': '5.78 Å'},,,4 μB,"3.92 μB/f.u. at 3 K, 3.6 μB/f.u. at 300 K",,,10.1016/j.jmmm.2020.166536,True
CoFeMnSi,620.0,,,DO3,,,,,,,,,10.1016/j.jmmm.2020.166536,False
La2CuO4,,174.0,,,,,,,,,,,10.1016/j.jmmm.2003.11.048,True
La2CuO4,,168.0,,,,,,,,,,,10.1016/j.jmmm.2003.11.048,True
La1.32Sr1.68Mn2O7,118.0,,,Layered Perovskite,Monophasic,"{'a': '3.8661 Å', 'c': '20.1759 Å'}",,,,,,,10.1016/j.jmmm.2010.02.037,True
Gd,293.0,,,Hexagonal close-packed,Hexagonal,"{'a': '3.623 Å', 'b': '3.623 Å', 'c': '5.822 Å'}",P6_3/mmc,,,,,,10.1016/j.jmmm.2022.170164,True
Sr4Ru3O10,105.0,,,Primitive,,{'c': '28 Å'},P bam,,"1.59 μB (inner Ru), 0.92 μB (outer Ru)",,,,10.1016/j.jmmm.2019.165698,True
SrRuO3,160.0,,,,,,,,,,,,10.1016/j.jmmm.2019.165698,False
Ca2RuO4,,110.0,,,,,,,,,,,10.1016/j.jmmm.2019.165698,False
Ca3Ru2O7,,56.0,,,,,,,,,,,10.1016/j.jmmm.2019.165698,False
Mn5Si3,,83.0,,"Hexagonal, Orthorhombic, Monoclinic",,,"P63/mcm, Ccmm, Cc2m",,,,,,10.1016/j.jmmm.2021.167909,True
Ni3Al,41.5,,,Cubic,Cu3Au (L12),{'a': '3.568 Å'},,,0.23 μB/cell,,,,10.1016/S0304-8853(01)00564-9,True
