,composition,material_id,Ms (ampere/meter)_s,has_rare_earth,Ms (ampere/meter)_e_re_augmented,exp-minus-sim
1501,Ba2DyTe,607,94723.36483827676,True,94146.64987447001,-576.7149638067494
1502,Ba2DyUO6,98,55388.9257961861,True,54740.78403310005,-648.1417630860524
1503,Ba2DyWO6,743,59882.71100493389,True,60021.71643218918,139.00542725529522
1504,Ba2Er2O5,951,59604.29733157736,True,51107.96547203819,-8496.331859539176
1505,Ba2ErCoCu2O7,391,115640.30046891906,True,111429.57627100109,-4210.724197917967
1506,Ba2ErCuNi2O7,623,173922.42269212383,True,168167.15548114377,-5755.267210980062
1507,Ba2ErMgNbO6,382,94182.829852459,True,1108224.1705059565,1014041.3406534975
1508,Ba2ErMgRuO6,738,55207.5236775147,True,269971.37843022135,214763.85475270665
1509,Ba2ErMoO6,371,61226.70393524408,True,200793.7079285428,139567.00399329874
1510,Ba2ErReO6,312,123692.1051898045,True,157931.71623533318,34239.61104552868
1511,Ba2ErUO6,242,55111.62565387985,True,95301.2069611335,40189.581307253655
1512,Ba2Eu(CuO2)4,865,274541.22085029376,True,296174.8207207404,21633.599870446662
1513,Ba2Eu2O5,510,56469.54467697603,True,51959.500906781235,-4510.043770194796
1514,Ba2Eu2ZnPtO8,331,93111.21168588995,True,283363.4613345902,190252.24964870026
1515,Ba2Eu3Mn2(CuO6)2,655,244402.97240987324,True,244672.27269935727,269.30028948403196
1516,Ba2EuBiO6,932,326588.9726779853,True,460741.1067070535,134152.13402906817
1517,Ba2EuCrO6,77,437131.2001935648,True,439421.2965371302,2290.096343565383
1518,Ba2EuMgNbO6,68,311007.6605573559,True,337532.67383463925,26525.013277283346
1519,Ba2EuMgSbO6,614,297515.4133386404,True,274595.86973056325,-22919.54360807716
1520,Ba2EuMoO6,839,416458.425405932,True,415053.38335978065,-1405.0420461513568
1521,Ba2EuTa3Ti2O15,159,178214.5831825573,True,282803.96678976656,104589.38360720925
1522,Ba2EuV3O11,836,203722.0746741345,True,203010.50464032366,-711.570033810829
1523,Ba2EuVO6,216,371163.2900265632,True,351864.54640347953,-19298.74362308369
1524,Ba2EuWO6,727,396207.8764702455,True,394770.74952937855,-1437.1269408669323
1575,Ba2Gd(CuO2)4,168,308169.73884459084,True,304944.5713799726,-3225.167464618222
1576,Ba2Gd2O5,373,117114.54294918782,True,149663.66747408255,32549.124524894738
1577,Ba2GdBiO6,909,385058.86768862326,True,383106.51125547854,-1952.3564331447124
1578,Ba2GdCu2(HgO4)2,914,291617.9141329373,True,183028.23679769255,-108589.67733524478
1579,Ba2GdCu3SO6,719,308759.1696100103,True,287202.91050386924,-21556.25910614105
1580,Ba2GdMgCu3O7,761,313713.26239544054,True,708873.8792428807,395160.6168474402
1581,Ba2GdMgSbO6,589,313370.50758662965,True,282595.00753747806,-30775.500049151597
1582,Ba2GdPaO6,532,371810.3829337149,True,323892.01464751636,-47918.36828619853
1583,Ba2GdTaO6,977,409608.9909003749,True,371033.83021297486,-38575.16068740003
1584,Ba2GdTe,885,104490.99560009902,True,390716.4457534962,286225.45015339716
1585,Ba2GdUO6,716,424799.7838921446,True,453600.01088287187,28800.226990727242
1586,Ba2GdV3O11,271,239787.11807496863,True,634947.7349224088,395160.6168474402
1604,Ba2HfScO6,657,63793.2514616629,True,61201.20121974049,-2592.0502419224067
1614,Ba2Ho2Fe(CoO4)3,1,508430.05644391227,True,636560.6137965759,128130.55735266366
1615,Ba2Ho2O5,992,59698.03074047534,True,61918.20983443342,2220.1790939580824
1616,Ba2HoCoCu2O7,744,116493.3586017577,True,108484.5504352626,-8008.808166495102
1617,Ba2HoMgNbO6,417,94069.67666885562,True,96136.79624770442,2067.1195788487967
1618,Ba2HoMgRuO6,571,54484.4263018843,True,75191.24588225374,20706.819580369447
1619,Ba2HoMoO6,964,60659.67801907756,True,58441.12704707385,-2218.550972003708
1620,Ba2HoUO6,176,54599.198605144746,True,111157.54749530985,56558.3488901651
1633,Ba2La(FeO3)3,926,635674.7742114671,True,642271.0025086509,6596.228297183756
1634,Ba2La2Co4O11,966,83554.9356821997,True,73296.77314158819,-10258.16254061152
1635,Ba2La2MgMn(WO6)2,241,224143.1643818074,True,180871.86533268643,-43271.29904912098
1636,Ba2La2MgZn(WO6)2,907,67552.34817142572,True,220341.61225452973,152789.264083104
1637,Ba2La2Mn(WO6)2,276,180321.67429256492,True,166561.39131955348,-13760.282973011432
1638,Ba2La2Mn4O11,663,581287.2424812118,True,656513.440963325,75226.19848211319
1639,Ba2La2Ni(WO6)2,189,70446.57177169036,True,58082.32197453064,-12364.249797159719
1640,Ba2La3Nd(CuO5)2,309,66749.10335362054,True,206235.09951214408,139485.99615852354
1641,Ba2La4Mn5SnO18,737,459928.9406212105,True,452503.2660195816,-7425.674601628911
1642,Ba2LaAs,969,222111.56635932415,True,214812.370349204,-7299.196010120155
1643,Ba2LaBi,941,201409.3504109658,True,182805.08506756282,-18604.265343402978
1644,Ba2LaCoCu2O7,853,122330.9220080403,True,214414.21308432636,92083.29107628606
1645,Ba2LaCrO6,148,59966.661272685655,True,614306.5203920031,554339.8591193175
1646,Ba2LaMn2O7,914,385680.5687563584,True,439207.945568581,53527.37681222259
1647,Ba2LaPb,244,158294.62742978835,True,1125766.055804477,967471.4283746887
1648,Ba2LaPuO6,953,153671.1285054278,True,219884.17213294766,66213.04362751986
1649,Ba2LaSb,719,205210.6924775526,True,200467.79503740737,-4742.897440145229
1650,Ba2LaTe,417,227572.3208699312,True,590400.1924614196,362827.8715914884
1651,Ba2LaUO6,237,50437.64103072765,True,94622.52767418776,44184.88664346011
1652,Ba2LaWO6,777,55481.78983341061,True,55622.924496831656,141.13466342104948
1656,Ba2LiEu(CuO2)4,425,305250.1482888709,True,613960.3107877757,308710.16249890474
1659,Ba2LiHoRuO6,389,116844.41262065474,True,98184.47853396888,-18659.934086685855
1660,Ba2LiLaIrO6,846,54111.42487827699,True,51413.610753772184,-2697.8141245048027
1666,Ba2LiScO6,649,266052.46903426305,True,267884.9072110626,1832.4381767995656
1667,Ba2LiSmCoCu2O7,347,113876.15505167752,True,102545.05868947905,-11331.09636219847
1669,Ba2LiTbIrO6,733,57697.46249782281,True,54226.1943683797,-3471.2681294431095
1672,Ba2LiY2(Fe2O5)2,165,584077.158045808,True,514342.75843938405,-69734.39960642392
1673,Ba2LiYO6,733,250020.90772903935,True,242056.89935351224,-7964.008375527104
1675,Ba2Lu2O5,488,58871.87554986127,True,58272.98192611401,-598.8936237472662
1676,Ba2LuIrO6,909,127468.04654811283,True,141695.81422873936,14227.767680626523
1677,Ba2LuMgNbO6,456,90582.43227979368,True,62500.08085714177,-28082.351422651904
1678,Ba2LuMgRuO6,525,53666.23611192228,True,121864.13130448185,68197.89519255958
1679,Ba2LuMoO6,516,62179.23491507731,True,72634.50860371353,10455.273688636225
1680,Ba2LuReO6,298,123237.58071619588,True,117421.3658803251,-5816.214835870778
1681,Ba2LuUO6,611,57362.922050163535,True,54875.12137515547,-2487.8006750080676
1726,Ba2MgScO6,755,196255.63569276716,True,262081.702293896,65826.06660112884
1807,Ba2NaCe2Ti2FeSi8HO27,549,96591.44793300654,True,94085.91554548804,-2505.5323875184986
1818,Ba2NaScO6,340,240727.34092711823,True,256124.24922563173,15396.908298513503
1824,Ba2NaYO6,323,222615.9379765884,True,226998.48461753098,4382.546640942572
1838,Ba2Nd2Fe(CoO4)3,180,497081.3045806058,True,400203.86684572045,-96877.43773488537
1839,Ba2Nd2Fe3CoO12,771,565786.6959646284,True,563776.2982887607,-2010.397675867658
1840,Ba2Nd2Fe4O11,38,762379.4908570013,True,1906963.2720086244,1144583.781151623
1841,Ba2Nd2Mg(Fe2O5)2,111,387690.4079887487,True,444488.0542668655,56797.646278116794
1842,Ba2Nd2MgCo4O11,525,349485.3406322977,True,328793.85266347614,-20691.487968821544
1843,Ba2NdBi,387,104529.33235527322,True,96993.1377223763,-7536.194632896921
1844,Ba2NdCoCu2O7,426,130449.01130151888,True,130590.40360330929,141.3923017904017
1845,Ba2NdMgMoO6,842,157199.0890729091,True,153993.81670010881,-3205.2723728002748
1846,Ba2NdMgRuO6,997,51902.86279452444,True,3984.494508325908,-47918.36828619853
1847,Ba2NdPuO6,736,156609.11605796663,True,188950.29834230294,32341.182284336304
1848,Ba2NdReO6,210,115939.16704304644,True,467167.69540384144,351228.528360795
1849,Ba2NdSb,237,106347.58261230293,True,51390.128217007456,-54957.45439529547
1850,Ba2NdTe,13,136687.74223584216,True,135088.74492098278,-1598.9973148593854
1851,Ba2NdUO6,859,51227.05394974523,True,58299.41400068041,7072.360050935182
1852,Ba2NdWO6,173,56733.34352828652,True,58790.302242006605,2056.958713720087
1886,Ba2PmBi,305,77520.84397039317,True,89976.72923727402,12455.885266880854
1887,Ba2PmSb,559,74837.9775497874,True,114993.53815250934,40155.56060272193
1888,Ba2PmTe,291,119745.7709189502,True,278975.19188195723,159229.42096300703
1889,Ba2Pr2Co4O11,785,396196.3207047365,True,396282.5033493907,86.18264465418179
1890,Ba2Pr3(CoO3)5,570,340386.9663527066,True,617302.5705867328,276915.6042340262
1891,Ba2PrAs,936,220526.0487847065,True,172871.08838469465,-47654.960400011856
1892,Ba2PrBi,149,178776.10453068645,True,200336.78726919083,21560.682738504373
1893,Ba2PrCoCu2O7,596,123153.30516512388,True,109279.54082252299,-13873.764342600887
1894,Ba2PrMgRuO6,95,51462.97769469278,True,59875.8654885604,8412.887793867616
1895,Ba2PrSb,110,177450.33868351238,True,163351.47707274306,-14098.861610769323
1896,Ba2PrSn,874,81306.0106056156,True,65979.97408123853,-15326.036524377065
1897,Ba2PrTe,665,156518.64156478862,True,183020.67745423733,26502.035889448714
1898,Ba2PrWO6,949,56017.09646598931,True,56703.52726589679,686.4307999074808
1899,Ba2PrZrO6,386,53442.01448386983,True,52953.77280473075,-488.24167913908605
1940,Ba2Sc2O5,135,71400.76075958177,True,70226.22813908066,-1174.5326205011079
1941,Ba2ScAs,468,98109.19957063752,True,129168.41156203931,31059.211991401797
1942,Ba2ScBO6,983,138573.62500053845,True,129361.63402716679,-9211.990973371663
1943,Ba2ScBeO6,111,217839.110738039,True,217455.02409204637,-384.0866459926183
1944,Ba2ScBi,906,90058.83957216474,True,95472.805007086,5413.965434921265
1945,Ba2ScCdO6,824,186109.11721088237,True,164725.58547489252,-21383.531735989847
1946,Ba2ScCoO6,307,143939.39876322262,True,94636.53615674132,-49302.8626064813
1947,Ba2ScCrO6,438,90232.92367356324,True,56560.82623127985,-33672.0974422834
1948,Ba2ScFeAsO3,207,238786.166805836,True,197526.9771704926,-41259.189635343384
1949,Ba2ScFeO6,283,214478.33512821025,True,224442.58533225252,9964.25020404227
1950,Ba2ScGaO6,230,134778.62655506615,True,128528.42455216387,-6250.202002902282
1951,Ba2ScInO6,808,124367.66615025808,True,129225.73697899096,4858.070828732874
1952,Ba2ScIrO6,494,134529.3919705543,True,129738.62353762245,-4790.768432931858
1953,Ba2ScMnO6,711,169435.21245407424,True,709207.8838651283,539772.671411054
1954,Ba2ScNiO6,441,71771.9155417525,True,72045.94688236786,274.0313406153582
1955,Ba2ScOsO6,115,199638.0578470448,True,204658.55111871255,5020.493271667743
1956,Ba2ScPbO6,708,60977.03442373076,True,59164.22464239206,-1812.8097813386994
1957,Ba2ScPdO6,658,67346.64772375826,True,63567.24108843629,-3779.4066353219678
1958,Ba2ScPtO6,498,51440.14842625046,True,126698.07067646706,75257.9222502166
1959,Ba2ScReO6,841,131887.18113626644,True,115139.8045127664,-16747.37662350005
1960,Ba2ScRhO6,48,136588.01034361424,True,343065.39900274563,206477.3886591314
1961,Ba2ScRuO6,687,204031.4715485034,True,281582.22424801905,77550.75269951564
1962,Ba2ScSb,116,88950.00585712962,True,86913.29414709736,-2036.7117100322648
1963,Ba2ScSnO6,457,64320.27953060854,True,62949.43213724631,-1370.84739336223
1964,Ba2ScTcO6,174,135813.609151698,True,543751.739716126,407938.130564428
1965,Ba2ScTe,45,130924.545485505,True,129898.68337040448,-1025.862115100521
1966,Ba2ScTiO6,839,67706.02523535622,True,60671.05840055934,-7034.966834796884
1967,Ba2ScTlO6,748,120585.71205386089,True,255081.6588266554,134495.9467727945
1968,Ba2ScUO6,701,59864.330215523325,True,61044.73486231658,1180.4046467932567
1969,Ba2ScZnO6,433,199924.05184142207,True,195080.18549353324,-4843.866347888834
1976,Ba2Sm2Fe4O11,696,754681.5820613063,True,932436.4436240136,177754.86156270723
1977,Ba2SmBi,878,60092.53074849233,True,56895.05663879279,-3197.474109699542
1978,Ba2SmCoCu2O7,862,127917.83103061524,True,142804.65064361214,14886.8196129969
1979,Ba2SmCrO6,929,62306.022442714566,True,98433.31960521793,36127.29716250336
1980,Ba2SmFeO6,510,186578.30306600267,True,207857.5123803261,21279.209314323438
1981,Ba2SmMgMoO6,793,153837.78792239405,True,149817.8071696353,-4019.98075275874
1982,Ba2SmNb4FeO15,282,141896.46397826672,True,134398.36402186658,-7498.0999564001395
1983,Ba2SmSb,831,53135.34867136581,True,51601.20359744471,-1534.1450739210995
1984,Ba2SmTe,227,114181.62125175292,True,112171.0602539753,-2010.5609977776185
1985,Ba2SmUO6,425,52373.21618051502,True,50696.7865676654,-1676.4296128496208
1986,Ba2SmWO6,199,57799.350671356086,True,96210.87291245884,38411.52224110276
1999,Ba2SrY2Cu2PtO10,739,70633.50369953412,True,88317.46394883691,17683.960249302792
2015,Ba2Tb2MgCo4O11,153,411343.7261088507,True,267529.58553566673,-143814.14057318395
2016,Ba2Tb2O5,477,56616.70146913552,True,51001.99477808338,-5614.706691052139
2017,Ba2TbCeO6,827,52986.84986207608,True,219724.8493546682,166737.99949259212
2018,Ba2TbMoO6,209,59759.27979531476,True,57631.127981555685,-2128.1518137590756
2019,Ba2TbPrO6,371,101300.41866657697,True,96953.48962814274,-4346.929038434231
2020,Ba2TbTe,510,99071.08077525982,True,72324.831128071,-26746.249647188815
2021,Ba2TbWO6,995,58739.50148947832,True,58562.26466232636,-177.23682715196628
2094,Ba2Tm2O5,877,59368.52126867551,True,125019.51447082486,65650.99320214934
2095,Ba2TmMgNbO6,398,95529.15848603784,True,62910.30558501693,-32618.852901020902
2096,Ba2TmMgRuO6,305,55429.89707797024,True,82008.89029428983,26578.993216319584
2097,Ba2TmMoO6,379,61528.95648626733,True,57508.97573350859,-4019.98075275874
2133,Ba2Y2Co3CuO10,991,382080.5471978354,True,379628.203341422,-2452.343856413383
2134,Ba2Y2Co4O11,742,473597.7209903869,True,461729.2894517781,-11868.431538608798
2135,Ba2Y2Co4O9,981,376825.84835644206,True,411613.76564286335,34787.91728642129
2136,Ba2Y2Mg(Fe2O5)2,631,517836.396649405,True,834237.3230530312,316400.9264036262
2137,Ba2Y2Mn4O11,294,605846.3495156836,True,646340.7616382324,40494.41212254879
2138,Ba2Y2O5,23,59069.45058722922,True,57264.97315902723,-1804.4774282019935
2139,Ba2YAlO6,388,129424.47400534245,True,130996.30786408867,1571.8338587462204
2140,Ba2YBO6,713,130890.78441429188,True,128386.87414745166,-2503.9102668402193
2141,Ba2YBi,596,55203.68931966829,True,293187.8736847492,237984.1843650809
2142,Ba2YCdO6,432,75844.80216709997,True,69679.65142874992,-6165.1507383500575
2143,Ba2YCo2F11,119,225638.56036974557,True,206264.07668047774,-19374.48368926783
2144,Ba2YCo3O7,30,285721.9149658755,True,325440.65302384854,39718.73805797304
2145,Ba2YCo3O8,962,498629.90581500455,True,505961.6758381938,7331.770023189252
2146,Ba2YCoCu2O7,555,126278.17210456695,True,102530.1766425752,-23747.995461991755
2147,Ba2YCoO6,332,134302.88388284287,True,134543.09738082762,240.21349798474694
2148,Ba2YCr2F11,94,290534.21547442296,True,289653.0942542294,-881.1212201935705
2149,Ba2YCr3O8,797,447794.5760376011,True,513620.64263872994,65826.06660112884
2150,Ba2YCrO6,16,65958.43073431929,True,66388.20521012339,429.7744758040935
2151,Ba2YCu2F11,770,74530.8295935623,True,117177.2765370987,42646.4469435364
2152,Ba2YFe2F11,313,298445.5228045109,True,301293.1402570404,2847.617452529492
2153,Ba2YFeO6,365,200024.5902251896,True,248175.30414903947,48150.713923849864
2154,Ba2YGaO6,490,124781.695917828,True,99302.26433146953,-25479.431586358463
2155,Ba2YGeO6,273,64849.7448260256,True,218138.25682058398,153288.5119945584
2156,Ba2YHfO6,527,59137.20228841498,True,58442.94331297121,-694.2589754437649
2157,Ba2YMgCo3O8,385,390491.7887925075,True,388351.8179280752,-2139.970864432282
2158,Ba2YMgFe3O8,213,350453.9840700237,True,339996.6260399747,-10457.358030049014
2159,Ba2YMgMn2TlO7,579,368370.1122652624,True,355313.0924127116,-13057.019852550817
2160,Ba2YMgMn3O8,598,514693.4736865368,True,512247.08236599935,-2446.3913205374265
2161,Ba2YMgNbO6,928,68471.99110968086,True,52678.221964860684,-15793.76914482018
2162,Ba2YMgNi3O8,555,154690.17080549448,True,118601.7105352183,-36088.46027027618
2163,Ba2YMgO6,421,182100.88347477544,True,153458.28583023857,-28642.597644536872
2164,Ba2YMgRuO6,416,54697.45231714487,True,96692.598492263,41995.146175118134
2165,Ba2YMn2TlO7,782,374486.12007374165,True,377556.9456706475,3070.8255969058373
2166,Ba2YMn3O7,467,652621.3031341652,True,639712.9482636634,-12908.35487050179
2167,Ba2YMn3O8,227,597571.134180728,True,594214.1264891834,-3357.007691544597
2168,Ba2YMnO6,940,169773.6317878325,True,456962.2589404342,287188.6271526017
2169,Ba2YMo3O8,505,401195.83783413697,True,348385.20979169704,-52810.62804243993
2170,Ba2YMoO6,701,60720.357141200686,True,57865.57053213776,-2854.786609062925
2171,Ba2YNi2F11,886,154046.13929513417,True,148766.26780285971,-5279.871492274455
2172,Ba2YNi3O7,453,258838.2493022726,True,400500.6828059233,141662.43350365068
2173,Ba2YNiO6,425,67147.11985811201,True,294222.16018243093,227075.04032431892
2174,Ba2YPbO6,474,56903.37362682751,True,50622.99241201754,-6280.381214809968
2175,Ba2YPdO6,547,63876.254769921296,True,68582.77379853604,4706.519028614748
2176,Ba2YPtO6,267,63159.902125742025,True,529374.6873052869,466214.7851795448
2177,Ba2YRhO6,468,127351.97891635793,True,126470.89056198865,-881.0883543692762
2178,Ba2YScO6,807,118529.09902015522,True,113362.97524022062,-5166.123779934598
2179,Ba2YSiO6,852,68714.94117610007,True,91071.89780838178,22356.95663228171
