composition,Tc_exp,contains_re
Al0.4Cr0.2Fe1.4Ni1O4,730.0,False
Al0.4Fe1.6Co0.5Cu0.5O4,548.0,False
Al0.4Fe1.6Co1O4,630.0,False
Al0.4Zn0.3Fe1.6Ni0.7O4,606.0,False
Al0.4Zn0.5Fe1.6Ni0.5O4,657.0,False
Al0.5Fe1.5Co1O4,582.0,False
Al0.5Fe1.5Ni1O4,883.0,False
Al0.5Fe1Co2Si0.5,1107.0,False
Al0.5V1.1Fe2.4,118.0,False
Al0.5V1Fe2.5,129.0,False
Al0.5Zn0.3Fe1.5Ni0.7O4,590.0,False
Al0.66Co1.34O4,7.45,False
Al0.6Co20Cu20,837.35,False
Al0.6Co30Cu10,843.85,False
Al0.6Cr0.3Fe1.1Ni1O4,660.0,False
Al0.6Fe0.2Ni0.2,853.15,False
Al0.6Fe1.4Co0.5Cu0.5O4,538.0,False
Al0.6Fe1.4Co1O4,554.0,False
Al0.6Ga0.6Fe0.8Cu1O4,390.0,False
Al0.6Zn0.3Fe1.4Ni0.7O4,561.0,False
Al0.6Zn0.5Fe1.4Ni0.5O4,653.0,False
Al0.7Fe1.3Co1O4,518.0,False
Al0.7Fe2Si0.3B2,306.0,False
Al0.8Co1.2O4,6.45,False
Al0.8Cr0.4Fe0.8Ni1O4,600.0,False
Al0.8Fe1.2Co0.5Cu0.5O4,513.0,False
Al0.8Fe1.2Co1O4,476.0,False
Al0.8Fe2Si0.2B2,306.0,False
Al0.8Ga0.2Fe2B2,304.0,False
Al0.8Zn0.5Fe1.2Ni0.5O4,650.0,False
Al0.94Cr0.06N1,340.0,False
Al0.96Cr0.63Fe0.41Co2,840.0,False
Al0.96Cr0.82Fe0.2Co2,588.0,False
Al0.97Cr0.32Fe0.72Co2,850.0,False
Al0.97Cr1.03Co2,333.0,False
Al0.99951Zn0.00049N1,300.0,False
Al0.99975Zn0.00025N1,300.0,False
Al0.99982Zn0.00018N1,300.0,False
Al0.99Fe1.03Co2,850.0,False
Al0.9Fe1.1Co1O4,442.0,False
Al0.9Fe2Ge0.1B2,300.9,False
Al0.9Fe2Si0.1B2,294.0,False
Al0.9Ga0.1Fe2B2,300.0,False
Al1.05Fe2Si0.15B2,300.0,False
Al1.07Co0.93O4,6.1,False
Al1.1Fe2B2,275.0,False
Al1.2Cr0.6Fe0.2Ni1O4,350.0,False
Al1.2Fe1.8Ni0.2B2,291.0,False
Al1.2Fe1.9Ni0.1B2,288.0,False
Al1.2Fe2B1.8C0.2,305.0,False
Al1.2Fe2B2,284.0,False
Al1.2Zn0.5Fe0.8Ni0.5O4,647.0,False
Al1.4Zn0.5Fe0.6Ni0.5O4,643.0,False
Al1.5Fe0.5Ni1O4,823.0,False
Al1.6Zn0.5Fe0.4Ni0.5O4,641.0,False
Al1.75V0.25Fe1Co1Ni1,456.0,False
Al1.7Fe72.9Si7.5Cu1.7B6Mo10.2,584.0,False
Al1.8Zn0.5Fe0.2Ni0.5O4,638.0,False
Al10.4Cr28.9Co49.8Si10.9,413.0,False
Al10.7Cr24.6Co55.1Si9.6,373.0,False
Al10.8Cr26Co51.8Si11.4,459.0,False
Al10.9Cr24Co54.7Si10.4,345.0,False
Al10Co11Ni29,967.15,False
Al10Cr27.4Co51.2Si11.4,434.0,False
Al11.1Cr25Co53.2Si10.7,504.0,False
Al11.1Cr26.2Co50Si12.7,509.0,False
Al11.1Cr27.2Co50.2Si11.5,462.0,False
Al11.2Cr23.1Co55.1Si10.6,429.0,False
Al11.8Cr24.8Co50.7Si12.7,499.0,False
Al11.9Cr21Co54.9Si12.2,443.0,False
Al11Cr21Co57Si11,429.0,False
Al11Fe39,907.0,False
Al12.2Cr23.6Co51.9Si12.3,503.0,False
Al12.5Cr24.6Co50Si12.9,531.0,False
Al12.8Cr21.1Co53.2Si12.9,403.0,False
Al12Co49Ni39,1028.15,False
Al12Cr21.8Co53.7Si12.5,457.0,False
Al13.2Cr22.1Co53Si11.7,468.0,False
Al13.4Cr23Co50.6Si13,540.0,False
Al13.7Cr22.6Co50Si13.9,564.0,False
Al13Fe3Cu4,900.0,False
Al19.6Cr20.1Fe20.4Co20.3Ni19.8,913.15,False
Al19Fe81,826.575,False
Al1Co1.28Ni1.17,269.0,False
Al1Cr0.5Fe0.5Co2,910.0,False
Al1Cr0.5Fe0.5Ni1O4,480.0,False
Al1Cr0.6Fe0.4Co2,690.0,False
Al1Cr0.95Cu0.05Ge1,108.0,False
Al1Cr0.95Fe0.05Ge1,115.6,False
Al1Cr0.95Ni0.05Ge1,133.0,False
Al1Cr0.9Fe2.1,250.0,False
Al1Cr1.2Co1.8,324.0,False
Al1Cr1.4Co1.6,302.0,False
Al1Cr1.6Co1.4,240.0,False
Al1Cr1.8Co1.2,134.0,False
Al1Cr1Co1.25,213.0,False
Al1Cr1Co1.5,320.0,False
Al1Cr1Co1.75,332.0,False
Al1Cr1Fe0.25Co1,165.0,False
Al1Cr1Fe0.5Co1,292.0,False
Al1Cr1Fe0.75Co1,392.0,False
Al1Fe0.18Ni2.82,198.12,False
Al1Fe0.36Ni2.64,302.2,False
Al1Fe1Co0.5Cu0.5O4,508.0,False
Al1Fe3C1.1,292.0,False
Al1Fe3Ru0.25,848.15,False
Al1Fe73.5Cu1Si12.5B9Mo3,609.0,False
Al1V0.05Cr0.95Ge1,77.0,False
Al1V0.18Fe2.82,400.0,False
Al1V0.33Fe2.67,0.0,False
Al1Zn0.5Fe1Ni0.5O4,648.0,False
Al23Fe77,743.15,False
Al23Fe77O150,810.0,False
Al23Ni77,86.0,False
Al25.5Fe0.2Ni74.5,46.0,False
Al25.5Fe0.5Ni74.5,70.0,False
Al25.5Fe1Ni74.5,47.5,False
Al25Cr25(Co24Ni)2,293.98,False
Al25Cr25Co49Ni,310.41,False
Al27Co41Ni32,340.0,False
Al28(Co13Ni11)3,375.0,False
Al28Co38.5Ni33.5,398.0,False
Al29Co35Ni36,300.0,False
Al29Co36Ni35,300.0,False
Al29Co37Ni34,300.0,False
Al29Co38Ni33,290.0,False
Al29Co39Ni32,300.0,False
Al2Co3Ni5,989.15,False
Al2Co5Ni3,997.15,False
Al2Cr2.3Fe68.2Co3Si3.3B5.5P8.7C7,590.0,False
Al2Cr2.3Fe71.2Si3.3B5.5P8.7C7,578.0,False
Al2Fe37Si2SnB2(PC)3,571.0,False
Al2Fe37Si2SnB2P5C,571.0,False
Al2Fe3Ni5,500.0,False
Al2FeO4,9.5,False
Al2Ga,176.0,False
Al2GaFe37Si2(BP3)2,737.0,False
Al2Zn0.5Ni0.5O4,635.0,False
Al3(Co10B3)2,409.0,False
Al3(CoB3)2,406.0,False
Al3(FeCo)7,1254.0,False
Al3Co2Ni15,606.15,False
Al3Co3Ni4,968.15,False
Al3Co4Ni3,1014.15,False
Al3Co5Ni2,1002.15,False
Al3Co75(B3P8)2,630.0,False
Al3Cr2(FeCo)6,1052.0,False
Al3Fe2Ni5,500.0,False
Al3Fe4(Co8B3)2,623.0,False
Al3Fe7,674.0,False
Al3Fe8(Co2B)6,815.0,False
Al3Fe8(Ni2B)6,285.0,False
Al48.7Fe51.3,180.0,False
Al4Co35Ni61,987.15,False
Al4Ga23Fe19Ni54,285.0,False
Al5Co14Ni,1065.15,False
Al5Cr5Co9Ni,285.71,False
Al5Fe75B4P11C5,600.0,False
Al5Ga2Fe17Co52CuSi3(BP)10,373.0,False
Al5Ga2Fe29Co40Cu2Si3B9P10,463.0,False
Al5Ga2Fe43Co26Cu3Si3(B4P5)2,526.0,False
Al5Ga2Fe56Co14Cu4Si3(B3P5)2,554.0,False
Al5Ga2Fe5Co63Si3(B6P5)2,328.0,False
Al5Ga2Fe70Cu5Si3(BP2)5,568.0,False
Al5Ga2Fe73B4P11C5,585.0,False
Al5Ga5Fe70B4P11C5,600.0,False
Al6Cr37Fe24(Co7Ni4)3,913.15,False
Al6Ni19,72.0,False
Al7Fe43,1012.15,False
Al8Fe17,625.0,False
Al9.5Cr27.3Co52.9Si10.3,345.0,False
AlCo3C,1100.0,False
AlCo3Ni,991.15,False
AlCo4Ni5,967.15,False
AlCo5Ni,1123.15,False
AlCo5Ni4,994.15,False
AlCo7Ni2,1072.15,False
AlCoNi2,995.15,False
AlCr2C,73.0,False
AlCr2Co,750.0,False
AlCrCo,18.0,False
AlCrCo2,331.32,False
AlCrCoCu,204.0,False
AlCrFe2,260.0,False
AlCrFeCo,460.0,False
AlCrFeCoCuNi,330.0,False
AlCrFeCoNi,696.65,False
AlCrGe,80.0,False
AlCrNi2,140.0,False
AlFe,693.25,False
AlFe19SiBP3,738.0,False
AlFe2Co,830.0,False
AlFe2Cu,875.0,False
AlFe2Ni,965.0,False
AlFe3,623.075,False
AlFe3N,770.0,False
AlFe4,943.65,False
AlFe9,1018.0,False
AlFeCo2,1141.5,False
AlFeCoCuNi,884.5,False
AlFeCoO4,420.0,False
AlFeCoSiNi,535.0,False
AlFeNi2,500.0,False
AlFeNiO4,666.395,False
AlFeO3,282.5,False
AlNi3,45.959999999999994,False
AlNi3C,220.0,False
AlVCo2,310.0,False
AlVCoRu,168.0,False
AlVCu2,210.0,False
AlVFe2,7.0,False
AlVFeCoNi,155.0,False
Am,0.0,False
AmFe2,544.0,False
Annealed1Mn0.5Fe2Sn0.5O4,790.0,False
As,0.0,False
Au,0.0,False
B,0.0,False
B(HO)3,62.0,False
Ba,0.0,False
Ba(CrSe2)2,125.0,False
Ba(Fe2O3)9,728.0,False
Ba(FeO2)2,707.5,False
Ba(FeSb3)4,0.35,False
Ba(Sb3Os)4,0.35,False
Ba(Sb3Ru)4,0.35,False
Ba0.017Ca0.483La0.45Eu0.05Mn1O3,90.0,True
Ba0.01Sr0.32La0.2211Sm0.4489Mn1O3,178.0,True
Ba0.025Ca0.275La0.7Mn1O3,258.0,True
Ba0.02La0.98Mn1O3,177.0,True
Ba0.034Ca0.466La0.4Eu0.1Mn1O3,85.0,True
Ba0.03Sr0.3La0.2211Sm0.4489Mn1O3,163.0,True
Ba0.04La0.96Mn1O3,180.0,True
Ba0.054Sr0.08Ca0.066La0.5Mn1Bi0.3O3,140.0,True
Ba0.054Sr0.08Ca0.066La0.7Mn1Bi0.1O3,290.0,True
Ba0.054Sr0.08Ca0.066La0.8Mn1O3,315.0,True
Ba0.05Ca0.15La0.8Mn1O3,219.0,True
Ba0.05Ca0.25La0.7Mn1O3,262.5,True
Ba0.05La0.9Mn1O3,230.0,True
Ba0.05La1.95Cu1Sn1O6,174.0,True
Ba0.05Sr0.45Pr0.5Mn1O3,250.0,True
Ba0.06Sr0.27La0.2211Sm0.4489Mn1O3,142.0,True
Ba0.075Ca0.225La0.7Mn1O3,268.0,True
Ba0.08La0.92Mn1O3,200.0,True
Ba0.09Sr0.24La0.2211Sm0.4489Mn1O3,125.0,True
Ba0.11Sr0.11Ca0.11Nd0.67Mn1O3,120.0,True
Ba0.11Sr0.22La0.67Mn0.8Fe0.2O3,94.0,True
Ba0.11Sr0.22La0.67Mn0.9Fe0.1O3,268.0,True
Ba0.11Sr0.22La0.67Mn1O3,360.0,True
Ba0.133Sr0.133Ca0.133Nd0.6Mn1O3,145.0,True
Ba0.15Ca0.05La0.8Mn1O3,268.0,True
Ba0.15Ca0.15Pr0.7Mn1O3,117.0,True
Ba0.15Fe1Bi0.85O3,1189.0,False
Ba0.15La0.7Co1Pb0.15O3,200.0,True
Ba0.15La0.85Mn1O3,231.0,True
Ba0.15La1.85Cu1Sn1O6,142.0,True
Ba0.15Nd0.85Mn1O3,107.0,True
Ba0.15Sr0.15La0.65Nd0.05Mn1O3,327.0,True
Ba0.16Sr0.14Pr0.7Mn1O3,202.0,True
Ba0.18La0.7Co1Pb0.12O3,200.0,True
Ba0.19Ca0.12La0.69Mn1O3,245.0,True
Ba0.1Ca0.1La0.8Mn0.85Co0.15O3,184.0,True
Ba0.1Ca0.1La0.8Mn0.8Co0.2O3,174.0,True
Ba0.1Ca0.1La0.8Mn0.95Co0.05O3,221.0,True
Ba0.1Ca0.1La0.8Mn0.97Fe0.03O3,281.0,True
Ba0.1Ca0.1La0.8Mn0.9Co0.1O3,214.0,True
Ba0.1Ca0.1La0.8Mn1O3,272.0,True
Ba0.1Ca0.22La0.68Mn1O3,225.0,True
Ba0.1Ca0.2La0.7Mn0.9Ru0.1O3,190.0,True
Ba0.1Ca0.2La0.7Mn1O3,281.0,True
Ba0.1Ca0.3La0.6Co1O3,220.0,True
Ba0.1Er0.1Cr0.02Fe0.96Co0.02Bi0.8O3,574.0,True
Ba0.1Eu0.9Ti1O3,5.6,True
Ba0.1Gd0.9Co1O3,270.0,True
Ba0.1La0.75Mn1Ag0.15O3,315.0,True
Ba0.1La0.85Mn1Bi0.05O3,219.0,True
Ba0.1La0.85Mn1O3,230.0,True
Ba0.1La0.8Mn1Bi0.1O3,233.0,True
Ba0.1La0.9Mn0.95O3,230.0,True
Ba0.1La0.9Mn0.99Cr0.01O3,225.0,True
Ba0.1La0.9Mn0.9Cr0.1O3,216.0,True
Ba0.1La0.9Mn1O3,220.0,True
Ba0.1La1.9Cu1Sn1O6,154.0,True
Ba0.1Na0.15La0.75Mn1O3,233.0,True
Ba0.1Sr0.1Ca0.1La0.7Mn1O3,323.0,True
Ba0.1Sr0.2La0.65Nd0.05Mn1O3,335.0,True
Ba0.1Sr0.4La0.5Mn1O3,305.0,True
Ba0.1Sr1.85Gd0.05Fe1Mo1O6,357.0,True
Ba0.21La0.7Co1Pb0.09O3,200.0,True
Ba0.22Sr0.11La0.67Mn0.7Fe0.3O3,80.0,True
Ba0.22Sr0.11La0.67Mn0.8Fe0.2O3,130.0,True
Ba0.22Sr0.11La0.67Mn0.9Fe0.1O3,190.0,True
Ba0.22Sr0.11La0.67Mn1O3,344.5,True
Ba0.22Sr0.11La0.67Ti0.1Mn0.9O3,267.0,True
Ba0.22Sr0.11Pr0.67Mn0.85Fe0.15O3,56.0,True
Ba0.22Sr0.11Pr0.67Mn0.95Fe0.05O3,134.0,True
Ba0.22Sr0.11Pr0.67Mn0.9Fe0.1O3,74.0,True
Ba0.22Sr0.11Pr0.67Mn1O3,216.0,True
Ba0.23Ca0.1La0.52Y0.15Mn1O3,289.0,True
Ba0.23Ca0.1La0.57Y0.1Mn1O3,300.0,True
Ba0.23Ca0.1La0.62Y0.05Mn1O3,321.0,True
Ba0.23Ca0.1La0.67Mn1O3,325.0,True
Ba0.23La0.67Mn1O3,320.0,True
Ba0.23Nd0.77Mn1O3,124.0,True
Ba0.23Sr0.07Nd0.7Mn1O3,100.0,True
Ba0.24Ca0.06La0.7Mn1O3,320.0,True
Ba0.24La0.7Co1Pb0.06O3,200.0,True
Ba0.25La0.75Co1O3,200.0,True
Ba0.25La0.75Mn1O3,311.5,True
Ba0.25La0.7Nd0.05Mn0.95Zn0.05O3,260.0,True
Ba0.25La0.7Nd0.05Mn0.97Zn0.03O3,285.0,True
Ba0.25La0.7Nd0.05Mn1O3,293.0,True
Ba0.25La0.7Y0.05Mn0.85Cr0.15O3,258.0,True
Ba0.25La0.7Y0.05Mn1O3,310.0,True
Ba0.25Pr0.75Mn1O3,156.0,True
Ba0.25Pr0.7Mn1O3,151.0,True
Ba0.27La0.7Co1Pb0.03O3,200.0,True
Ba0.28La0.67Mn1O3,336.0,True
Ba0.2Ca0.13La0.57Nd0.1Mn1O3,280.0,True
Ba0.2Ca0.13La0.61Nd0.06Mn1O3,296.0,True
Ba0.2Ca0.13La0.65Nd0.02Mn1O3,308.0,True
Ba0.2Ca0.1La0.7Mn0.9Ru0.1O3,240.0,True
Ba0.2Ca0.1La0.7Mn0.9Sn0.1O3,290.0,True
Ba0.2Ca0.1La0.7Mn1O3,310.0,True
Ba0.2Ca0.2La0.6Mn1O3,302.0,True
Ba0.2Ca1.4La1.4Mn2O7,144.0,True
Ba0.2La0.7Nd0.1Mn1O3,257.0,True
Ba0.2La0.8Co1O3,185.0,True
Ba0.2La0.8Mn0.85Fe0.15O3,157.5,True
Ba0.2La0.8Mn0.8Fe0.2O3,125.0,True
Ba0.2La0.8Mn0.95Fe0.05O3,233.0,True
Ba0.2La0.8Mn0.9Fe0.1O3,193.0,True
Ba0.2La0.8Mn1O3,286.0,True
Ba0.2La1.8Cu1Sn1O6,136.0,True
Ba0.2Pr0.7Mn1O3,145.0,True
Ba0.2Sr0.1La0.65Nd0.05Mn1O3,319.0,True
Ba0.2Sr0.2La0.6Mn1O3,354.0,True
Ba0.2Sr0.3Pr0.5Mn1O3,180.0,True
Ba0.2Sr1.7Gd0.1Fe1Mo1O6,357.0,True
Ba0.32Sr1.28La1.4Mn2O7,139.0,True
Ba0.33La0.62Er0.05Mn0.85Fe0.15O3,180.0,True
Ba0.33La0.62Er0.05Mn0.95Fe0.05O3,256.53,True
Ba0.33La0.62Er0.05Mn0.9Fe0.1O3,260.0,True
Ba0.33La0.62Er0.05Mn1O3,275.0,True
Ba0.33La0.62Nd0.05Mn1O3,270.0,True
Ba0.33La0.67Mn0.85Sn0.15O3,288.0,True
Ba0.33La0.67Mn0.92O3,216.0,True
Ba0.33La0.67Mn0.93Sb0.07O3,296.0,True
Ba0.33La0.67Mn0.95Sn0.05O3,340.0,True
Ba0.33La0.67Mn0.96O3,330.0,True
Ba0.33La0.67Mn0.97Sb0.03O3,316.0,True
Ba0.33La0.67Mn0.99Sb0.01O3,326.0,True
Ba0.33La0.67Mn0.9Cr0.1O3,324.0,True
Ba0.33La0.67Mn0.9Sn0.1O3,325.0,True
Ba0.33La0.67Mn1O3,340.0,True
Ba0.33La0.67Ti0.02Mn0.98O3,312.235,True
Ba0.33Nd0.67Mn0.93Fe0.07O3,50.0,True
Ba0.33Nd0.67Mn0.95Fe0.05O3,61.0,True
Ba0.33Nd0.67Mn0.98Fe0.02O3,134.0,True
Ba0.33Nd0.67Mn0.9Co0.1O3,137.0,True
Ba0.33Nd0.67Mn0.9Cr0.1O3,163.0,True
Ba0.33Nd0.67Mn0.9Cu0.1O3,112.03,True
Ba0.33Nd0.67Mn0.9Fe0.1O3,48.435,True
Ba0.33Nd0.67Mn0.9Ni0.1O3,147.0,True
Ba0.33Nd0.67Mn1O3,140.41,True
Ba0.33Pr0.67Mn0.95Fe0.05O3,128.0,True
Ba0.33Pr0.67Mn1O3,191.0,True
Ba0.34Nd0.66Mn1O3,150.0,True
Ba0.35Ca0.05La0.6Co1O3,232.0,True
Ba0.35La0.65Mn0.95Fe0.05O3,207.0,True
Ba0.35La0.65Mn1O3,317.5,True
Ba0.36Pr0.64Mn1O3,196.0,True
Ba0.38La0.62Mn1O3,340.0,True
Ba0.3Ca0.1La0.6Co1O3,228.0,True
Ba0.3La0.4Y0.3Mn0.7Fe0.3O3,140.5,True
Ba0.3La0.55Eu0.15Mn1O3,298.0,True
Ba0.3La0.5Pr0.2Mn1O3,295.0,True
Ba0.3La0.5Sm0.2Mn1O3,225.0,True
Ba0.3La0.5Y0.2Mn0.8Fe0.2O3,147.0,True
Ba0.3La0.65Eu0.05Mn1O3,324.0,True
Ba0.3La0.65Mn1Ag0.05O3,300.0,True
Ba0.3La0.65Nd0.05Mn0.85Cr0.15O3,275.0,True
Ba0.3La0.65Nd0.05Mn0.95Cr0.05O3,315.0,True
Ba0.3La0.65Nd0.05Mn0.9Cr0.1O3,300.0,True
Ba0.3La0.65Nd0.05Mn1O3,306.0,True
Ba0.3La0.6Eu0.1Mn1O3,312.0,True
Ba0.3La0.6Pr0.1Mn0.7Ni0.3O3,131.0,True
Ba0.3La0.6Pr0.1Mn0.9Ni0.1O3,162.0,True
Ba0.3La0.6Pr0.1Mn1O3,267.5,True
Ba0.3La0.6Sm0.1Mn1O3,290.0,True
Ba0.3La0.6Y0.1Mn0.9Fe0.1O3,121.0,True
Ba0.3La0.7Co1O3,193.0,True
Ba0.3La0.7Mn0.82Fe0.18O3,150.0,True
Ba0.3La0.7Mn0.85Fe0.15O3,183.0,True
Ba0.3La0.7Mn0.87Fe0.13O3,208.0,True
Ba0.3La0.7Mn0.8Fe0.2O3,154.0,True
Ba0.3La0.7Mn0.92Fe0.08O3,253.0,True
Ba0.3La0.7Mn0.9Al0.1O3,311.0,True
Ba0.3La0.7Mn0.9Fe0.1O3,212.0,True
Ba0.3La0.7Mn1O3,336.5,True
Ba0.3La0.7Ti0.02Mn0.98O3,301.11,True
Ba0.3La0.7Ti0.05Mn0.95O3,246.94,True
Ba0.3La0.7Ti0.1Mn0.9O3,170.01,True
Ba0.3La0.7Ti0.2Mn0.8O3,96.03,True
Ba0.3La0.7Ti0.3Mn0.7O3,34.64,True
Ba0.3Na0.05La0.65Mn1O3,310.0,True
Ba0.3Nd0.7Ti0.05Mn0.95O3,100.0,True
Ba0.3Nd0.7Ti0.15Mn0.85O3,50.0,True
Ba0.3Nd0.7Ti0.25Mn0.75O3,42.0,True
Ba0.3Pr0.7Mn1O3,164.0,True
Ba0.42Sr0.5Pr0.08Fe11.2Ni0.8O19,580.0,True
Ba0.44La0.56Mn1O3,345.0,True
Ba0.44Sr0.5Pr0.06Fe11.4Ni0.6O19,595.0,True
Ba0.45La0.55Mn1O3,350.0,True
Ba0.45Nd0.55Mn1O3,120.0,True
Ba0.46Sr0.5Pr0.04Fe11.6Ni0.4O19,620.0,True
Ba0.48Sr0.5Pr0.02Fe11.8Ni0.2O19,652.0,True
Ba0.4Ca0.03La0.57Co1O3,181.0,True
Ba0.4Ca0.04La0.56Co1O3,194.0,True
Ba0.4Ca0.05La0.55Co1O3,189.0,True
Ba0.4Ca0.075La0.525Co1O3,170.0,True
Ba0.4Ca0.15La0.45Co1O3,188.0,True
Ba0.4Ca0.1La0.5Co1O3,176.0,True
Ba0.4Ca1.2La1.4Mn2O7,163.0,True
Ba0.4La0.6Co1O3,213.5,True
Ba0.4La0.6Mn1O3,322.5,True
Ba0.4Pr0.6Co1O2.94,155.0,True
Ba0.4Sr0.5Pr0.1Fe11Ni1O19,558.0,True
Ba0.4Sr1.4Gd0.2Fe1Mo1O6,357.0,True
Ba0.5Gd0.5Co1O2.9,280.0,True
Ba0.5La0.5Co0.9Cu0.1O3,142.0,True
Ba0.5La0.5Co0.9Ni0.1O3,152.0,True
Ba0.5La0.5Co1O2.95,190.0,True
Ba0.5La0.5Co1O3,185.0,True
Ba0.5La0.5Cr0.1Co0.9O3,205.0,True
Ba0.5La0.5Mn1O3,284.0,True
Ba0.5La0.5Ti0.1Co0.9O3,154.0,True
Ba0.5La0.5Zn0.1Co0.9O3,145.0,True
Ba0.5Nd0.5Co1O2.94,130.0,True
Ba0.5Nd0.5Co1O3,144.0,True
Ba0.5Pr0.5Mn1O3,140.0,True
Ba0.5Sr0.5Fe12O19,672.0,False
Ba0.5Sr0.5Pr1Co2O5.243,210.1,True
Ba0.5Sr1.5V1Fe1O6,722.0,False
Ba0.63La0.37Mn1O3,340.0,True
Ba0.6Ca1La1.4Mn2O7,185.0,True
Ba0.6Sr2.4Fe24Co2O41,669.0,False
Ba0.7Ca0.3Pr1Mn2O6,105.0,True
Ba0.8Ca0.2Pr1Mn2O6,155.4,True
Ba0.93Ti1Fe0.07O3,506.0,False
Ba0.95Ca0.05Y1Co2O5.5,287.0,True
Ba0.96Sr0.64La1.4Mn2O7,94.0,True
Ba0.99Nd0.118Fe11.86Co0.041O19,725.15,True
Ba0.9Ca0.1Y1Co2O5.5,287.0,True
Ba1.25Pr0.75Fe1Mo1O6,410.0,True
Ba1.5Pr0.5Fe1Mo1O6,390.0,True
Ba1.5Sr0.5V1Fe1O6,730.0,False
Ba1.6Sr0.4Fe1Mo1O6,338.5,False
Ba1.6Sr0.4La0.1Fe1Mo1O6,354.0,True
Ba1.6Sr0.4La0.2Fe1Mo1O6,367.0,True
Ba1.6Sr0.4La0.3Fe1Mo1O6,378.0,True
Ba1.6Sr0.4La0.4Fe1Mo1O6,390.0,True
Ba1.6Sr0.6Fe1Mo1O6,351.0,False
Ba1.6Sr0.8Fe1Mo1O6,360.0,False
Ba1.6Sr1Fe1Mo1O6,367.0,False
Ba1.7Pr0.3Fe1Mo1O6,360.0,True
Ba1.8La0.2Fe1Mo1O6,334.0,True
Ba1.8Pr0.2Fe1Mo1O6,355.0,True
Ba1.9La0.1Fe1Mo1O6,332.0,True
Ba1.9Pr0.1Fe1Mo1O6,335.0,True
Ba14MnSb11,20.0,False
Ba1Al0.1Fe11.9O19,705.0,False
Ba1Al0.3Fe11.7O19,700.0,False
Ba1Al0.5Fe11.5O19,683.0,False
Ba1Al0.6Fe11.4O19,690.0,False
Ba1Al0.9Fe11.1O19,680.0,False
Ba1Al1.2Fe10.8O19,670.0,False
Ba1Al1.5Fe10.5O19,624.0,False
Ba1Ca1Al0.2Co3.8O7,30.0,False
Ba1Ca1Al0.4Co3.6O7,30.0,False
Ba1Ca1Co3.92Ni0.08O7,42.0,False
Ba1Ca1Co3.96Ni0.04O7,57.0,False
Ba1Ca1Co4O7.5,60.0,False
Ba1Ca1Cr0.04Co3.96O7,59.0,False
Ba1Ca1Mn0.04Co3.96O7,58.0,False
Ba1Ca1Mn0.08Co3.92O7,57.0,False
Ba1Dy1Co2O5.51,300.0,True
Ba1Eu1Co2O5.41,264.0,True
Ba1Eu1Co2O5.47,267.0,True
Ba1Eu1Co2O5.49,260.0,True
Ba1Eu1Co2O5.58,267.0,True
Ba1Eu1Co2O5.67,256.0,True
Ba1Fe0.004Ir0.99657O3,180.0,False
Ba1Fe0.04Sn0.95W0.01O3,310.0,False
Ba1Fe0.04Sn0.96O3,462.0,False
Ba1Ga0.1Fe11.9O19,660.0,False
Ba1Gd1Co2O5.45,285.0,True
