composition,Tc_exp
Ca0.76Sr0.62Zn1.21Fe16.01O26.62,623.15
Ca0.8Sr0.2RuO3,107.0
Ca1,0.0
Ca14MnBi11,55.0
Ca14MnSb11,65.0
Ca1Fe2O5,403.0
Ca1Fe5Mo5O30Sr9,413.0
Ca2CoO3,19.0
Ca2CoO6Os,145.0
Ca2CrOsO6,490.0
Ca2CrSbO6,14.0
Ca2Fe0.6Co0.4MoO6,280.0
Ca2Fe0.7Co0.3MoO6,290.0
Ca2Fe0.8Co0.2MoO6,310.0
Ca2Fe0.9Co0.1MoO6,330.0
Ca2Fe1Mo1O6,372.5
Ca2FeMoO6,365.0
Ca2FeO6Os,320.0
Ca2FeO6Re,539.0
Ca2FeReO6,531.0
Ca2NiO6Os,175.0
Ca2TiMnO6,69.4
Ca3(Co0.95Fe0.05)2O6,23.0
Ca3(Co0.98Fe0.02)2O6,23.0
Ca3(Co0.99Fe0.01)2O6,23.0
Ca30Fe33Ge4O120V13,424.0
Ca3Co1.90Al0.10O6,24.0
Ca3Co1.90O6,24.0
Ca3Co1.92Al0.08O6,24.0
Ca3Co1.92O6,24.0
Ca3Co1.94Al0.06O6,24.0
Ca3Co1.94O6,24.0
Ca3Co1.96Al0.04O6,24.0
Ca3Co1.96O6,24.0
Ca3Co1.98Al0.02O6,24.0
Ca3Co1.98O6,24.0
Ca3Co2O6,24.0
Ca3Co4O9,19.0
Ca3CoIrO6,100.0
Ca3CoO6Rh,90.0
Ca3CoO6Zn,90.0
Ca3Fe2WO9,340.0
Ca3Fe3Ge1O12V1,319.0
Ca3LiO6Ru,120.0
Ca3Mn2NbO9,40.0
Ca3Mn2WO9,30.0
Ca4Mn2.7V0.3O10,88.0
Ca4Mn2.8V0.2O10,94.0
Ca4Mn2.95W0.05O10,89.0
Ca4Mn2.9V0.1O10,106.0
Ca4Mn2.9W0.1O10,82.0
Ca6Fe7O24Sb3,55.0
Ca6Fe7O24V3,493.0
CaAl7.013Fe4.987O19,310.0
CaAl7.922Fe4.078O19,130.0
CaB6,725.0
CaBa(Co0.95Al0.05)4O7,30.0
CaBa(Co0.9Al0.1)4O7,30.0
CaBaCo3.92Mn0.08O7,57.0
CaBaCo3.92Ni0.08O7,42.0
CaBaCo3.96Cr0.04O7,59.0
CaBaCo3.96Mn0.04O7,58.0
CaBaCo3.96Ni0.04O7,57.0
CaBaCo4O7,65.0
CaBaCo4O7.50,60.0
CaCo2,530.0
CaCo3(P2O7)2,8.0
CaCu2.5Mn4.5O12,345.0
CaCu2Mn5O12,297.5
CaCu3Cr2Nb2O12,197.0
CaCu3Fe2O12Os2,580.0
CaCu3Fe2Ru2O12,348.0
CaCu3Mn4O12,355.0
CaCuMn6O12,182.5
CaFe0.2Ti0.8O3,545.0
CaFe0.4Ti0.6O3,590.0
CaFe0.6Ti0.6O3,675.0
CaFe10IrCoO19,628.0
CaFe11Ir0.5Co0.5O19,687.0
CaFe2Ge2,44.0
CaFe4Sb12,0.35
CaMn0.60Ru0.40O3,210.0
CaMn0.6Ru0.4O3,210.0
CaMn0.85Ru0.15O3,160.0
CaMn0.90Ru0.10O3,120.0
CaMn0.94Ru0.06O3,110.0
CaMn2Sb2,220.0
CaMn7O12,49.0
CaRu0.25Mn0.75O3,180.0
CaRu0.5Mn0.5O3,180.0
CaRu0.85Fe0.15O3,80.0
CaRuO3,87.0
Cd0.1Fe2Mg0.9O4,390.0
Cd0.2Fe2Mg0.8O4,315.0
Cd0.35Cr2Se4Zn0.65,22.0
Cd0.35Zn0.65Cr2Se4,74.0
Cd0.3Fe2Mg0.7O4,255.0
Cd0.45Zn0.55Cr2Se4,54.0
Cd0.4Cr2Hg0.6S4,61.88
Cd0.4Fe2Mg0.6O4,195.0
Cd0.4Mn2.6O4,24.5
Cd0.55Zn0.45Cr2Se4,40.0
Cd0.56Sb0.44[Cr2]Se4,130.0
Cd0.5Co0.5Cr2O4,77.0
Cd0.5Cu0.5Cr2O4,20.0
Cd0.5Fe2Mg0.5O4,120.0
Cd0.5Mn0.5Te,35.0
Cd0.65Zn0.08Mg0.27Te,2.5
Cd0.6Co0.4Cr2O4,66.0
Cd0.6Cr2Hg0.4S4,71.32
Cd0.6Cr2Se4Zn0.4,72.6
Cd0.6Fe2Mg0.4O4,35.0
Cd0.6Mn0.4Te,73.0
Cd0.6Mn2.4O4,15.0
Cd0.7Mn0.3Te,91.0
Cd0.81Mn0.16Cr2.06Se4,130.0
Cd0.85Cu0.15Cr2S4,82.8
Cd0.86Mn0.12Cr2.04Se4,130.0
Cd0.87Sb0.13[Cr2]Se4,130.0
Cd0.8Cr2Se4Zn0.2,103.5
Cd0.8Mn0.2Te,33.0
Cd0.8Mn2.2O4,5.0
Cd0.90Mn0.06Cr2.00Se4,130.0
Cd0.93Cr2Se4Sn0.07,120.0
Cd0.93Fe0.07O,560.0
Cd0.93Sn0.07Cr2Se4,120.0
Cd0.94Mn0.06GeP2,300.0
Cd0.95Cr2In0.05Se4,123.0
Cd0.95Cr2Sb0.05Se4,130.0
Cd0.95Cr2Se4Sn0.05,116.0
Cd0.95Fe0.05O,560.0
Cd0.95In0.05Cr2Se4,123.0
Cd0.95Mn0.03Cr2.00Se4,130.0
Cd0.95Mn0.05Te,2.0
Cd0.95Mn0.05Te/Cd0.95Mg0.05Te,2.0
Cd0.95Sb0.05Cr2Se4,130.0
Cd0.95Sn0.05Cr2Se4,116.0
Cd0.96Co0.04S,519.0
Cd0.96Mn0.04Te,3.0
Cd0.975Fe0.025O,560.0
Cd0.97Cr2Se4Sn0.03,122.0
Cd0.97Sn0.03Cr2Se4,122.0
Cd0.99Fe0.01O,560.0
Cd0.9Cr2In0.1Se4,117.0
Cd0.9Cr2Sb0.1Se4,130.0
Cd0.9Cr2Se4Sn0.1,124.0
Cd0.9Cu0.1Cr2S4,86.5
Cd0.9In0.1Cr2Se4,117.0
Cd0.9Sb0.1Cr2Se4,130.0
Cd0.9Sn0.1Cr2Se4,124.0
Cd1,0.0
Cd1Fe2,782.0
Cd1Fe2O4,0.0
Cd1Mn2O4,4.0
Cd2.76Mn0.24As2,47.0
Cd9Cr20Se40Zn1,137.0
CdCl4Cs2,69.33
CdCr1.8In0.2S4,40.0
CdCr1.94Ga0.06Se4,120.2
CdCr1.96Ga0.04Se4,125.8
CdCr1.98Ga0.02Se4,127.5
CdCr1.9In0.1S4,65.15
CdCr2S2Se2,93.1
CdCr2S3Se,84.7
CdCr2S4,84.5
CdCr2SSe3,110.0
CdCr2Se4,129.5
CdFe2O4,656.5
CdGa0.3Cr1.7S4,78.0
CdGa1.4Cr0.6Se4,125.0
CdGa1.6Cr0.4Se4,125.0
CdGeAs2:Mn,300.0
CdGeAs2:Mn (1 mass%),350.0
CdGeAs2:Mn (3 mass%),355.0
CdGeAs2:Mn (6 mass%),355.0
CdGeP2:Mn,300.0
CdH20N2O14S2,20.0
CdMn2O4,670.0
CdMnGeP2,315.0
CdTe,152.5
Cf1,0.0
CfN,25.0
Cl1,0.0
Cl1Cr1Cu1S3,218.0
Cl1Cr5Cu5S19,370.0
Cl2CrH15N6O2,76.0
Cl2CrI2Rb2,56.9
Cl2Cu3H6MgO6,4.2
Cl3Fe1Rb1,109.0
Cl3MnTl,108.0
Cl4CrCs2,58.0
Cl4CrK2,65.0
Cl4CrRb2,52.4
Cl4Np1,6.7
Cl6Ir1K2,3.05
ClCr2CuS3,221.9
ClCr2CuSe3,383.0
ClCu2H3O3,18.1
Cm1,0.0
Cm1N1,117.0
Cm1Sb1,162.0
CmAs,88.0
CmN,109.0
CmP,73.0
CmSb,162.0
Co,1384.0
Co (fcc),1388.0
Co(C7H4O5S)(H2O)2·H2O,5.1
Co(Cr0.4Fe1.6)O4,623.0
Co(N(CN)2)2,9.0
Co(NCNH)2,10.0
Co(S0.89Se0.11)2,20.0
Co(S0.92Se0.08)2,64.0
Co(cryst.),1400.0
Co-14Al,873.15
Co-30.2Ni-9.8Al-4.6Mo-1.9Ta-2.0Ti-2.0Cr,786.15
Co-30.4Ni-9.7Al-4.7Mo-2.1Ta,991.15
Co-30.5Ni-9.7Al-4.8Mo-2.1Ta-1.9Ti,986.15
Co-Sn,1322.15
Co-doped SnO2,600.0
Co-doped SnS2,131.0
Co-doped TiO2,700.0
Co-doped ZnO,273.0
Co-doped ZnS,300.0
Co-doped ZnTe,273.0
Co-doped rutile TiO2,400.0
Co-g-C3N4,35.5
Co/Cu,520.0
Co/Cu/Ni/Cu(001),190.0
Co/Ni/Cu(100),880.0
Co/Ni/Pt(111),540.0
Co/Pt,470.0
Co/Pt multilayer,600.0
Co0.04W0.96Se2,300.0
Co0.04Zn0.96O,750.0
Co0.075Fe2Ni0.925O4,871.0
Co0.08Bi1.92Se3,30.0
Co0.12Mn0.03Ge0.85,270.0
Co0.198Fe2.802O4,660.0
Co0.1Cu0.9MnSb,300.0
Co0.1Fe2.9O4,857.0
Co0.1Mn2.9O4,53.0
Co0.1Zn0.9O,300.0
Co0.25Fe0.75Pt,850.0
Co0.25Ni0.25Zn0.5Fe2O4,517.15
Co0.25Zn0.75Fe2O4,337.0
Co0.2Cu0.8MnSb,350.7
Co0.2Fe0.8Si,28.0
Co0.2Fe1.8U,129.0
Co0.2GeRh0.8U,13.7
Co0.2Ni0.8Fe2O4,848.15
Co0.2Ti0.8O2,300.0
Co0.2Zn0.8Fe2O4,325.0
Co0.30Zn0.70Fe2O4,370.0
Co0.34Ni0.66Pt3,313.15
Co0.35Zn0.65Fe2O4,361.5
Co0.37Zn0.63Fe2O4,319.15
Co0.38Fe2.62O4,793.0
Co0.3Cu0.7MnSb,391.3
Co0.3Fe2.7O4,849.0
Co0.3Mn2.7O4,53.0
Co0.3Zn0.7Fe2O4,275.0
Co0.40Zn0.60Fe2O4,453.0
Co0.416Fe2.584O4,639.0
Co0.45Zn0.55Fe2O4,442.0
Co0.4Ag0.1Zn0.5Fe2O4,388.15
Co0.4Fe1.6U,87.0
Co0.4Ni0.6Fe2O4,839.15
Co0.4Zn0.6Fe2O4,365.0
Co0.50Ni0.50Fe2O4,858.0
Co0.50Zn0.50Fe2O4,497.0
Co0.59Fe2.41O4,793.0
Co0.5Cu0.5Al0.0Fe2.0O4,598.0
Co0.5Cu0.5Al0.2Fe1.8O4,583.0
Co0.5Cu0.5Al0.4Fe1.6O4,548.0
Co0.5Cu0.5Al0.6Fe1.4O4,538.0
Co0.5Cu0.5Al0.8Fe1.2O4,513.0
Co0.5Cu0.5Al1.0Fe1.0O4,508.0
Co0.5Cu0.5MnSb,425.0
Co0.5Cu0.5Rh2S4,100.0
Co0.5Fe0.5MnSi,296.0
Co0.5Fe0.5Pt,850.0
Co0.5Mn2.5O4,62.0
Co0.5Pd0.5,93.5
Co0.5Sb2U,65.0
Co0.5Zn0.5Fe2O4,420.0
Co0.61Zn0.39Fe2O4,338.15
Co0.62Zn0.38Fe2O4,328.15
Co0.63Zn0.37Fe2O4,319.15
Co0.65Mn0.35,140.0
Co0.65Zn0.35Fe2O4,858.0
Co0.6Cu0.4MnSb,455.5
Co0.6Fe0.4MnSi,284.0
Co0.6Fe1.4U,24.0
Co0.6Fe2.4SiTi2,160.0
Co0.6GeRh0.4U,19.7
Co0.6Mg0.4Cr2O4,45.0
Co0.6Mn0.4Fe2O4,773.0
Co0.6Ni0.4Fe2O4,832.15
Co0.6Zn0.4Fe2O4,554.0
Co0.72Fe0.28,1173.15
Co0.75Cu0.25Fe2O4,588.15
Co0.75Fe0.25Pt,850.0
Co0.75Fe0.25S2,140.7
Co0.75Ni0.25Pt3,521.15
Co0.76Fe1.24P,459.0
Co0.772V0.228,708.0
Co0.77GeRu0.23U,4.68
Co0.784V0.216,850.0
Co0.78V0.22,711.0
Co0.7Cu0.3MnSb,457.0
Co0.7Cu0.6Mn1.7O4,115.0
Co0.7Fe0.3MnSi,307.0
Co0.7Fe2Ni0.3O4,831.0
Co0.7Fe2O4Zn0.3,591.0
Co0.7GeRh0.3U,18.6
Co0.7Zn0.3Fe2O4,643.0
Co0.80Mg0.20Fe2O4,719.15
Co0.82Fe2.18O4,793.0
Co0.844V0.156,850.0
Co0.84Mg0.16Fe2O4,723.15
Co0.85Fe0.15GeU,6.4
Co0.85Fe0.15MnSi,347.0
Co0.85Se,124.0
Co0.875Fe0.125GeU,7.02
Co0.88GeRu0.12U,7.46
Co0.88Mg0.12Fe2O4,728.15
Co0.8Cu0.2Cr2O4,89.0
Co0.8Cu0.2MnSb,460.5
Co0.8Fe0.2MnSi,327.0
Co0.8Fe1.2P,453.0
Co0.8Fe2.2O4,803.0
Co0.8GeRh0.2U,15.0
Co0.8Mg0.2Cr2O4,65.0
Co0.8Mn0.2Fe2O4,400.0
Co0.8Mn1.2P,445.0
Co0.8Ni0.2Fe1.9Mn0.1O4,773.0
Co0.8Ni0.2Fe2O4,822.15
Co0.8Pd0.2,1251.0
Co0.8Zn0.2Fe2O4,678.0
Co0.925Fe0.075GeU,8.55
Co0.92Mg0.08Fe2O4,733.15
Co0.93Al1.07O4,6.1
Co0.95Fe0.05GeU,8.35
Co0.96Mg0.04Fe2O4,741.15
Co0.975Fe0.025GeU,7.73
Co0.97Fe2Ni0.03O4,786.0
Co0.97GeRu0.03U,6.5
Co0.9Cu0.1MnSb,472.6
Co0.9Cu0.6Mn1.5O4,120.0
Co0.9Fe0.1GeU,6.9
Co0.9Fe0.1MnSi,361.0
Co0.9GeRh0.1U,7.0
Co0.9GeRu0.1U,8.62
Co0.9Ni0.1Cr2O4,96.0
Co0.9Zn0.1Fe2O4,698.0
Co0Fe3O4,665.0
Co1.1Fe1.8O4Ti0.1,755.0
Co1.20Al0.80O4,6.45
Co1.21O4V1.79,165.0
Co1.25CrAl,213.0
Co1.28Ni1.17Al,269.0
Co1.2Cr1.8Al,134.0
Co1.2Fe0.8P,407.0
Co1.2Fe1.8Si,1052.0
Co1.2Ni0.3Mn1.5O4,200.0
Co1.2Ti0.2Fe1.6O4,745.15
Co1.2Zr0.2Fe1.6O4,718.15
Co1.34Al0.66O4,7.45
Co1.36Fe12.24Si3.4U2,554.0
Co1.4Cr1.6Al,240.0
Co1.4Fe0.6P,286.0
Co1.4Fe1.6Si,1059.0
Co1.4Mn0.6P,386.0
Co1.59ZrSn,192.0
Co1.5CrAl,320.0
Co1.5Fe1.5Si,1069.0
Co1.5FeO4Ti0.5,450.0
Co1.5Mn1.5O4,160.0
Co1.6Cr1.4Al,302.0
Co1.6Fe0.4P,140.0
Co1.6Fe1.4Si,1058.0
Co1.6Mn0.4P,209.0
Co1.75CrAl,332.0
Co1.8Cr1.2Al,324.0
Co1.8Fe0.4O4Ti0.8,200.0
Co1.8Mn1.2O4,198.0
Co1.9K0.3Se2,74.0
Co10.88Fe2.72Si3.4U2,450.0
Co10H27U10,63.0
Co10Si2U,510.0
Co119Fe1881,1105.0
Co11Fe39Ti50,8.4
Co11Pd89,347.0
Co11U2,389.15
Co11Zr2,778.0
Co12.24Fe1.36Si3.4U2,393.0
Co12.92Fe0.68Si3.4U2,311.0
Co12Hf2P7,133.0
Co12Nb2P7,50.0
Co12O19Sr,80.0
Co12P7Ti2,67.0
Co12P7Zr2,149.0
Co13.6Si3.4U2,207.5
Co14Ge3U2,315.0
Co15.7Ge1.3U2,735.0
Co15Ge2U2,650.0
Co15Si2U2,590.0
Co17Th2,1035.0
Co187Fe1813,1124.0
Co18Ti7,42.0
Co19Cr1S40,170.0
Co1Cr4Cu1S8,235.0
Co1F12Ni3Rb4,115.0
Co1Fe1,1253.0
Co1Fe19,1093.0
Co1Fe1Ge1,370.0
Co1Fe1Ti2,57.0
Co1Fe9,1143.0
Co1Ge2Mn2Ni1,47.1
Co1Ge5Mn5Ni4,80.0
Co1H18U6,185.0
Co1Li2Mn3O8,50.0
Co1ML/Ni5ML/Cu(100),438.0
Co1O6Pb2W1,67.0
Co2(OH)3Cl,10.5
Co2.2Mn0.8O4,188.0
Co2.3Mo3NaO12,27.0
Co2.46Fe0.54O4,155.0
Co2.50Sb0.50O4,60.0
Co2.5Fe0.5S2Sn2,101.0
Co2.61Fe0.39S2Sn2,121.0
Co2.68Fe0.32S2Sn2,136.0
Co2.72Fe10.88Si3.4U2,562.0
Co2.86Fe0.14S2Sn2,156.0
Co23.1Fe50.5Ta11.1B6.7O8.6,600.0
Co23.67Fe7.14Ni43.08B13.85Si12.26,360.65
Co23Hf6,499.0
Co23Zr6,453.0
Co25Cu75,673.15
Co26Fe26Ta35B13,23.0
Co28Fe28Ni19Si13B12,627.0
Co28Fe28Ta30B14,69.0
Co2As0.15P0.85,70.0
Co2As0.6P0.4,120.0
Co2As0.94P0.06,70.0
Co2B,433.0
Co2C,465.0
Co2Cl(OH)3,10.0
Co2Cr(Ga0.5Si0.5),600.0
Co2Cr0.02Fe0.98Si,990.0
Co2Cr0.32Fe0.72Al0.97,850.0
Co2Cr0.5Fe0.5Al,910.0
Co2Cr0.63Fe0.41Al0.96,840.0
Co2Cr0.6Fe0.4Al,690.0
Co2Cr0.82Fe0.20Al0.96,588.0
Co2Cr1.03Al0.97,333.0
Co2CrAl,334.0
Co2CrGa,495.0
Co2Fe(Ga0.25Si0.75),1019.0
Co2Fe(Ga0.5Ge0.5),1080.0
Co2Fe(Ga0.5Si0.5),1059.0
Co2Fe(Ga0.75Si0.25),1075.0
Co2Fe0.2GeTi0.8,447.0
Co2Fe0.4GeTi0.6,640.0
Co2Fe0.5GaMn0.5,990.0
Co2Fe0.625V0.375Ge,790.0
Co2Fe0.6GeTi0.4,720.0
Co2Fe0.75V0.25Ge,820.0
Co2Fe0.8GeTi0.2,840.0
Co2Fe1.03Al0.99,850.0
Co2Fe1O4,450.0
Co2Fe3,1200.0
Co2Fe8Zr5,502.0
Co2FeAl,1183.0
Co2FeGa,1086.5
Co2FeGa0.5Ge0.5,1080.0
Co2FeGa0.5Si0.5,1097.0
Co2FeGe,1036.5
Co2FeGe0.25Si0.75,990.0
Co2FeIn,900.0
Co2FeO4,613.0
Co2FeSi,1026.5
Co2FeSi0.5Al0.5,1104.5
Co2FeSi0.5Ga0.5,1043.0
Co2FeSi0.5Ge0.5,963.0
Co2FeSi0.5In0.5,1080.0
Co2FeSi0.5Sn0.5,1046.0
Co2FeSn,1000.0
Co2Ga0.25Ge0.75Mn,895.0
Co2Ga0.5MnSn0.5,770.0
Co2GaHf,186.0
Co2GaMn,694.0
Co2GaTi,130.0
Co2GaV,352.0
Co2Ge,26.2
Co2Ge5Mn5Ni3,80.0
Co2Ge7U3,40.0
Co2GeMn,905.0
Co2GeTi,383.0
Co2HfSn,394.0
Co2K0.55Se2Tl0.45,80.0
Co2K0.5Se2Tl0.5,80.0
Co2K0.6Se2Tl0.4,79.0
Co2K0.8Se2Tl0.2,78.0
Co2KSe2,78.0
Co2Mg,321.0
Co2Mn0.95Bi0.05O4,160.0
Co2Mn0.9Bi0.1O4,158.0
Co2MnGa,694.0
Co2MnGa0.5Sn0.5,770.0
Co2MnGe,883.0
Co2MnO4,170.0
Co2MnSb0.8Sn0.2,645.0
Co2MnSi,990.5
Co2MnSn,823.0
Co2MnSn0.75Ti0.25,480.0
Co2MnTi,938.0
Co2NbGa,351.0
Co2NbSn,116.0
Co2Ni1O4,500.0
Co2O4Sn,41.0
Co2O4Ti,47.8
Co2O4V,159.0
Co2RuSi,491.0
Co2S2Tl,150.0
Co2SiO4,50.0
Co2SiTi,380.0
Co2SnTi,359.5
Co2SnV,95.0
Co2SnZr,448.0
Co2Te3,50.0
Co2TeO3Cl2,15.0
Co2Ti,59.0
Co2TiAl,135.0
Co2TiGa,128.0
Co2TiGe,391.0
Co2TiSi,360.0
Co2TiSn,365.5
Co2V2O7,11.39
Co2VGa,345.5
Co2VMn,690.0
Co2Zr1,120.0
Co2ZrAl,180.0
Co2ZrSn,454.0
Co30Cu10Pt60,708.15
Co30Fe30Ta25B15,133.0
Co33Fe67Ti100,39.2
Co33Ni33B34,500.0
Co34Fe16Zr25,96.0
Co35Fe65,1273.15
Co36Fe14Zr25,30.0
Co36Fe36Si3Al1B20Nb4,1060.0
Co36Fe36Si3Al1Nb4B20,731.0
Co36Fe36Si4B20Nb4,975.0
Co37Fe13Zr25,4.0
Co38.0Ni33.0Al29.0,280.0
Co38.5Ni33.5Al28.0,398.0
Co393Ti107,38.0
Co39Ni33Al28,375.0
Co3AlC,1100.0
Co3B,750.0
Co3C,519.0
Co3Cr1S8,335.0
Co3F15Mg2Rb5,25.0
Co3F30Ni7Rb10,109.0
Co3Fe12P5,670.0
Co3Fe17P10,423.0
Co3Fe2Th1,690.0
Co3Fe2Ti5,13.9
Co3Fe7Zr5,422.0
Co3Fe97,1079.0
Co3Ge10Mn10Ni7,186.5
Co3Ge20Mn20Ni17,186.5
Co3Hf,40.0
Co3In0.14S2Sn1.86,161.0
Co3In0.34S2Sn1.66,126.0
Co3In0.52S2Sn1.48,90.0
Co3In0.65S2Sn1.35,40.0
Co3In0.72S2Sn1.28,21.0
Co3N,650.0
Co3O8V2,10.0
Co3Pt1,1190.0
Co3S2Sn2,175.25
Co3Sb4U3,10.0
Co3Sn2S2,174.0
Co3V2O8,10.0
Co4(OH)7(DAE)0.5·3H2O,14.5
Co4.08Fe9.52Si3.4U2,570.0
Co40Fe22Ta5.5Hf2.5B30,387.0
Co40Fe22Ta8B30,418.5
Co40Fe60,1261.15
Co40Pt60,760.15
Co41Cr9S100,300.0
Co41Ni32Al27,340.0
Co45Ni5Cr25Al25,285.71
Co46Fe20Hf6.5B27.5,530.0
Co48Ni2Cr25Al25,293.98
Co49.8Cr28.9Al10.4Si10.9,413.0
Co49Ni17B34,500.0
Co49Ni1Cr25Al25,310.41
Co49Ni21Ga30,400.0
Co4Fe21,1203.0
Co4Fe6Zr5,275.0
Co4FeTh,560.0
Co4Ge7U3,21.5
Co4N,650.0
Co4Ni96,686.15
Co5(OH)6(C8H12O4)2,16.2
Co5(OH)8(O2CCC6H4CO2)·2H2O,40.0
Co5.3U,360.0
Co5.44Fe8.16Si3.4U2,576.0
Co50.2Cr27.2Al11.1Si11.5,462.0
Co50.6Cr23.0Al13.4Si13.0,540.0
Co50.7Cr24.8Al11.8Si12.7,499.0
Co50Cr22.6Al13.7Si13.9,564.0
Co50Cr24.6Al12.5Si12.9,531.0
Co50Cr25Al25,328.64
Co50Cr26.2Al11.1Si12.7,509.0
Co50Cu50,618.15
Co50Fe21Ti19Ta5B5,675.0
Co50Fe3V29Ga18,220.0
Co50Fe7V25Ga18,300.0
Co50Ni20FeGa29,450.0
Co50Ni22Ga28,360.0
Co50Ni50/Pt,523.15
Co51.2Cr27.4Al10.0Si11.4,434.0
Co51.8Cr26.0Al10.8Si11.4,459.0
Co51.9Cr23.6Al12.2Si12.3,503.0
Co51Fe15Hf6.5B27.5,527.0
Co52.9Cr27.3Al9.5Si10.3,345.0
Co52Fe625Rh625,480.0
Co53.0Cr22.1Al13.2Si11.7,468.0
Co53.2Cr21.1Al12.8Si12.9,403.0
Co53.2Cr25.0Al11.1Si10.7,504.0
Co53.7Cr21.8Al12.0Si12.5,457.0
Co53Mn25B10Si12,160.0
Co54.7Cr24.0Al10.9Si10.4,345.0
Co54.9Cr21.0Al11.9Si12.2,443.0
Co55.1Cr23.1Al11.2Si10.6,429.0
Co55.1Cr24.6Al10.7Si9.6,373.0
Co55.5Co3Ga41.5,103.0
Co55.5Cr3Ga41.5,57.0
Co55.5Cu3Ga41.5,86.0
Co55.5Fe3Ga41.5,175.0
Co56Fe16Zr8B20,600.0
Co57.33Fe4.7Cr13.4B13.02Si11.09Mo0.62,360.65
Co57Cr21Al11Si11,429.0
Co57Fe43Ti100,33.9
Co58.5Ga41.5,89.0
Co58Mn20B10Si12,296.0
Co59Fe12Cr7Si8B14,665.0
Co5Fe5Si2U,750.0
Co5Ge3,598.5
Co5ML/Ni5ML/Cu(100),880.0
Co5Th,480.0
Co5U,360.0
Co6.5Ru1.5Zn8Mn4,224.5
Co6.8Fe6.8Si3.4U2,592.0
Co60Ag40,500.0
Co60Fe40,1261.15
Co60Ga40,163.0
Co60Zr40,595.15
Co61.5Ga38.5,253.0
Co61Cr39S200,275.0
Co62Ge38,165.0
Co63.1B27Si9.9,300.0
Co63Fe8Cr7Si8B14,555.0
Co63Ge37,265.0
Co64.3Fe3.5W4.7Si16.5B11.0,475.15
Co65.25Fe4.5Si12.25B15Mo3,448.0
Co65.25Fe4.5Si12.25B15Nb3,453.0
"Co65.5Cr6.5(Si,B)28",263.0
Co65.5Fe3.5Cr3B10Si18,364.0
"Co65.5Fe6.5(Si,B)28",552.0
Co65.9Fe3.5W3.1Si16.5B11.0,513.15
Co65B24.4Si10.6,208.0
Co65B35,500.0
Co65Fe3.2Cr2.8B10Si19,321.0
Co65Fe3.8Cr2.2B11.5Si17.5,393.0
Co65Fe4Cr1Mo1B11.8Si17.2,399.0
Co65Fe5Mo2Si16B12,232.9
Co65Fe6Cr7Si8B14,515.0
Co65Mo10Si10B15,228.0
Co66.25Fe4.5Si12.25B15Mo2,480.0
Co66.25Fe4.5Si12.25B15Nb2,473.0
Co66.5Fe4Mo1.5B12Si16,413.0
Co66.7Fe3.1Cr3.2B12Si15,440.0
Co66.7Ge33.3,280.0
Co66.94Fe3.83Ni1.44B11.51Si14.59Mo1.69,613.0
Co66.94Fe3.83Ni1.44Mo1.69B11.51Si14.59,620.65
Co66Fe3.8Cr1.2B12Si17,449.0
Co66Fe3Cr6B15Si10,430.0
Co66Fe3Cr9B14Si8,425.0
Co66Fe4Mo0.5Ni0.5Si15.5B13.5,491.0
Co66Fe4Mo2B11.5Si16.5,523.15
Co66Fe4Mo2Si16B12,483.0
Co66Fe4Ni1B14Si15,478.15
Co66Ge34,265.0
Co66Hf6.5B27.5,315.0
Co66Nb9Cu1Si12B12,150.0
Co66Nb9Cu1Si12B12 (annealed at 590°C),69.8
Co66Zr34,645.15
Co67.25Fe4.5Si12.25B15Mo1,553.0
Co67.25Fe4.5Si12.25B15Nb1,543.0
Co67.8Fe3.2Cr7Si8B14,595.0
Co67Fe3.2Cr2.8B10Si17,388.0
Co67Fe3Cr3B11.5Si15.5,443.0
Co67Fe3Cr3B12Si15,434.0
Co67Fe4Cr7Si8B14,555.0
Co67Fe4Ni2Si15B12,545.15
Co68.15Fe4.35B12.5Si15,630.0
Co68.15Fe4.35Si12.5B15,599.65
Co68.1Fe4.4Si12.5B15,568.15
Co68.25Fe4.5Si12.25B15,588.0
"Co68.5Fe3.5(Si,B)28",516.0
"Co68.5Fe3.5Cr3(Si,B)28",416.0
Co68.5Fe4.0Si15.0B12.5,630.15
Co68.5Mo10Si10B11.5,310.0
Co68.6Fe3.9Mo3.0Si12.0B12.5,567.15
Co68Fe3.2Cr2.8B9Si17,393.0
Co68Fe4.5Si12.5B15,616.15
Co68Mn10B10Si12,663.15
Co69.0Fe4.0Ni1.0Mo2.0B12.0Si12.0,638.15
Co69B12Si12Fe4Mo2Ni1,638.15
"Co69Cr3(Si,B)28",368.0
Co69Fe2Cr7Si8B14,560.0
Co69Fe4Cr4Si12B11,340.0
Co69Fe7Si14B10,660.15
Co6O11Sr,25.0
Co70.3Fe4.7Si10B15,708.0
Co70.5Fe4.5Si15B10,500.0
Co70B30,650.0
Co70Fe4Ni2Si10B9Ti5,534.15
Co70Fe4Ni2Si10B9Zr5,560.15
Co70Fe4Ni2Si15B4Ti5,534.15
Co70Fe4Ni2Si15B4Zr5,534.15
Co70Fe4Ni2Si15B9,436.15
Co70Fe5Si10B15,693.15
Co70Ge30,850.0
Co70Mo10Si10B10,343.0
Co71Fe0Cr7Si8B14,515.0
Co71Fe5B11Si10Cr3,637.0
Co71Mo9P14B6,317.0
Co71Ti29,44.0
"Co72(Si,B)28",503.0
Co72.5Si12.5B15,361.5
